url,followers,following,tweets,account_created,account_age_days,tweet_activity,followers_max_growth,followers_max_loss,tweets_max_growth,tweets_max_loss,error
https://twitter.com/caisyio,1092,174,9838,2021-02-02,1430,6.88,166,-86,679,-37,
https://twitter.com/CourseYard,168,1190,10,2014-09-30,3747,0.0,26,-51,0,0,
https://twitter.com/coinsbee,15456,489,2494,2019-06-27,2016,1.24,640,-507,99,23,
https://twitter.com/axsemantics,737,488,2523,2012-01-24,4727,0.53,9,-21,15,-8,
https://twitter.com/datazoode,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/ZalvusRecruit,300,817,817,2014-12-29,3657,0.22,12,-16,36,0,
https://twitter.com/instagridco,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/fraesen_online,70,92,115,2019-11-25,1865,0.06,4,-4,1,0,
https://twitter.com/laserhub_gmbh/,232,185,601,2017-08-31,2681,0.22,1,-5,0,-1,
https://www.twitter.com/Crypt0Captain,151,265,1372,2020-03-12,1757,0.78,,,,,
https://twitter.com/makersite,535,720,1791,2016-04-20,3179,0.56,18,-23,5,-3,
https://twitter.com/ncvisiongmbh,12,4,860,2020-03-10,1759,0.49,10,-6,23,0,
https://twitter.com/pkbrd,94,35,530,2016-04-16,3183,0.17,,,,,
https://twitter.com/flipappde,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/smarking,0,0,5,2009-02-27,5788,0.0,0,-1,0,0,
https://twitter.com/SwarmLogistics,966,497,209,2015-09-02,3410,0.06,57,-25,11,0,
https://twitter.com/vialytics,227,239,371,2018-06-18,2390,0.16,8,-11,11,0,
https://twitter.com/segautomotive?lang=en,322,367,191,2019-03-21,2114,0.09,20,-13,4,-1,
https://twitter.com/yolifeapp,52,75,639,2018-04-25,2444,0.26,6,-7,31,-1,
https://twitter.com/wildfyreapp,2102,14,180,2016-11-20,2965,0.06,-1,-51,1,-5,
https://twitter.com/reparandogmbh,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/123fahrschule?lang=de,30,16,304,2017-06-26,2747,0.11,2,-1,1,-2,
https://twitter.com/bioechols,81,21,60,2016-11-09,2976,0.02,,,,,
https://twitter.com/bongourapp,32,52,438,2017-01-28,2896,0.15,8,-3,0,0,
https://twitter.com/tsensoCom,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/aiconix_ai,151,113,281,2017-05-22,2782,0.1,13,-14,24,-1,
https://twitter.com/case_score,235,415,688,2016-02-05,3254,0.21,1,-5,0,-1,
https://twitter.com/1NCE_IoT,780,156,822,2018-02-14,2514,0.33,54,-10,26,0,
https://twitter.com/Cannamedical_de,362,31,82,2017-08-07,2705,0.03,55,-3,7,-1,
https://twitter.com/autlay,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/dropfriends,49,102,92,2019-10-22,1899,0.05,0,-1,0,-1,
https://x.com/deeplcom,19203,89,568,2018-02-01,2527,0.22,1409,-26,54,0,
https://twitter.com/enermeterDE?lang=de,53,163,42,2017-08-30,2682,0.02,,,,,
https://twitter.com/freightly,57,137,33,2015-01-26,3629,0.01,4,-7,0,0,
https://twitter.com/flowtify,266,220,4553,2010-08-12,5257,0.87,3,-4,24,-68,
https://twitter.com/HackerThinking,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/envelio,283,96,199,2017-03-01,2864,0.07,8,-7,2,-3,
https://twitter.com/home_ix,,,,,,,,,,,Failed after proxy rotation
https://www.twitter.com/heysite,714,2700,394,2016-03-31,3199,0.12,,,,,
https://twitter.com/einhundert_cgn,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/GeoPardAgri,1130,3903,620,2019-08-30,1952,0.32,33,-25,54,0,
https://twitter.com/KerberosAML,20,19,43,2021-04-12,1361,0.03,2,-1,0,0,
https://twitter.com/impect_official,4924,129,477,2016-06-12,3126,0.15,273,-36,44,-2,
https://twitter.com/kyp_ai?lang=en,47,46,200,2021-10-09,1181,0.17,0,-29,0,-29,
https://twitter.com/howfmHQ,43,45,56,2019-09-23,1928,0.03,3,-2,11,-3,
https://twitter.com/myschleppapp,66,165,356,2016-07-02,3106,0.11,1,-3,1,-3,
https://www.twitter.com/odoscope,1292,1344,3667,2010-02-22,5428,0.68,,,,,
https://twitter.com/MINDZEIT_app,66,288,150,2019-05-09,2065,0.07,13,-33,4,-2,
https://twitter.com/niostem,226,158,156,2019-11-10,1880,0.08,25,-28,25,0,
https://twitter.com/nomooicecream,4,9,0,2018-04-25,2444,0.0,0,-1,0,0,
https://twitter.com/plastic2b,22,21,43,2019-03-04,2131,0.02,0,-1,0,-1,
https://twitter.com/mecorad_cologne,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/prommpt,22,177,38,2017-05-03,2801,0.01,3,-1,0,0,
https://twitter.com/Radbonus,1479,747,2082,2015-07-22,3452,0.6,4,-19,0,-3,
https://twitter.com/sharednc,215,225,322,2015-09-11,3401,0.09,,,,,
https://twitter.com/sosafesecurity,944,1192,1683,2018-03-05,2495,0.67,13,-18,10,-2,
https://twitter.com/rise_techn,124,147,321,2015-09-13,3399,0.09,2,-4,0,-1,
https://twitter.com/mailo_ag,325,231,261,2018-02-22,2506,0.1,3,-7,1,-3,
https://twitter.com/myvytal,440,127,246,2019-06-24,2019,0.12,76,-8,4,-2,
https://www.twitter.com/vire,273,164,53,2016-02-12,3247,0.02,8,-15,0,0,
https://www.twitter.com/resmenthr,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/25friendsapp,3,33,6,2017-01-13,2911,0.0,0,-1,0,0,
https://twitter.com/FLFPRODUCT,1038,2812,3894,2009-06-15,5680,0.69,31,-16,77,-2,
https://twitter.com/shareacamper,,,,,,,,,,,Failed after proxy rotation
https://www.twitter.com/adtriba,287,592,1102,2015-02-17,3607,0.31,,,,,
https://www.twitter.com/airfocus,1652,1479,1972,2016-01-10,3280,0.6,27,-72,23,-24,
https://twitter.com/ahead_nutrition,8,0,0,2017-09-18,2663,0.0,0,-1,0,0,
https://twitter.com/ARTMO_,2266,1858,1763,2017-06-03,2770,0.64,37,-56,42,0,
https://twitter.com/applike,91,119,32,2019-08-22,1960,0.02,14,-16,0,0,
https://twitter.com/apoqlar?lang=en,214,101,130,2018-08-15,2332,0.06,5,-5,0,-1,
https://twitter.com/boxxport,69,133,586,2019-04-29,2075,0.28,0,0,0,0,
https://twitter.com/projectbreeze,375,34,285,2015-02-03,3621,0.08,2,-6,0,-3,
https://twitter.com/cellmatiq,63,67,135,2017-01-16,2908,0.05,,,,,
https://twitter.com/asapishere,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/Breakpointtx,177,3,24,2019-04-02,2102,0.01,5,-2,2,0,
https://twitter.com/hashtag/attenio,,,,,,,,,,,Failed after proxy rotation
http://www.twitter.com/blockchance_,4479,1207,2951,2018-01-29,2530,1.17,793,-89,234,-4,
https://twitter.com/awork_io,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/caracarehealth,1240,1715,487,2015-05-10,3525,0.14,17,-47,7,-3,
https://twitter.com/comydo_com,47,31,31,2016-02-10,3249,0.01,,,,,
https://twitter.com/digitalheads1,280,260,2314,2016-07-01,3107,0.74,-6,-6,0,0,
https://twitter.com/cybus_io,444,424,1140,2014-09-10,3767,0.3,9,-19,4,-2,
https://twitter.com/cir_plus,479,308,533,2018-12-06,2219,0.24,32,-32,23,-6,
https://twitter.com/Cherrydeckapp,125,102,92,2017-11-20,2600,0.04,3,-7,0,-1,
https://twitter.com/cu_finder,80,20,293,2022-01-30,1068,0.27,1,0,1,0,
https://twitter.com/thecondogroup,92,0,8,2009-09-21,5582,0.0,0,0,0,0,
https://twitter.com/futtercheck,,,,,,,,,,,Failed after proxy rotation
https://twitter.com/dein_enyway,441,83,167,2017-11-03,2617,0.06,-8,-8,0,0,
https://www.twitter.com/flitslive,91,41,16,2015-03-23,3573,0.0,3,-2,0,-1,
https://twitter.com/frischeposthh?lang=de,211,155,111,2015-02-24,3600,0.03,1,-3,0,0,
