Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
UN1TY Ventures,https://www.crunchbase.com/organization/un1ty-ventures,"Accelerator, Fund Of Funds, Incubator, Venture Capital",,,"London, England, United Kingdom","Early Stage Venture, Private Equity, Seed, Venture",Global Technology Fund Focusing in Emerging Technology,"Europe, Middle East, and Africa (EMEA)",2022-10-25,day,http://un1ty.io/,https://www.linkedin.com/company/un1tyuk,,,
The Fashion Incubator,https://www.crunchbase.com/organization/the-fashion-incubator,Incubator,,,"London, England, United Kingdom",,The Fashion Incubator is an investment firm that provides funding and financial solutions for sustainable fashion brands and companies.,"Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.thefashionincubator.com/,,,,
OBSIDIAN,https://www.crunchbase.com/organization/obsidian-fd69,"Incubator, Investment Bank, Venture Debt",,,"London, England, United Kingdom","Convertible Note, Debt, Late Stage Venture, Non Equity Assistance, Venture","Mid-market, sell side M&A advisory boutique. We principally arrange and provide debt to corporates in West, Central & East Africa.","Europe, Middle East, and Africa (EMEA)",2014-11-01,day,https://www.obsocc.com,https://www.linkedin.com/company/obsidian-occident/,,,
MadLab Arts & Tech Accelerator,https://www.crunchbase.com/organization/madlab-arts-tech-accelerator,Accelerator,,,"Manchester, Manchester, United Kingdom",Grant,MadLab Arts & Tech Accelerator is a creative practice accelerator for artists working with digital making technology.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://accelerator.madlab.org.uk/,https://www.linkedin.com/company/madlab-manchester-digital-laboratories-,,,
OxAngels,https://www.crunchbase.com/organization/oxangels,Angel Group,,,"Oxford, Oxfordshire, United Kingdom",,"Group of like-minded individuals linked to the University of Oxford, passionate about early stage companies create social and economic value","Europe, Middle East, and Africa (EMEA)",,,https://www.oxangels.com/,,,,
Traveltech Lab,https://www.crunchbase.com/organization/traveltech-lab,Co-Working Space,,,"London, England, United Kingdom",,"Traveltech Lab is a focal point for innovators in travel, tourism, events and hospitality.","Europe, Middle East, and Africa (EMEA)",,,http://www.traveltechlab.london/,,,,
Tmrw Venture Studio,https://www.crunchbase.com/organization/tmrw-venture-studio,Accelerator,,,"London, England, United Kingdom",,Tmrw Venture Studio invests in EdTech companies.,"Europe, Middle East, and Africa (EMEA)",,,https://www.tmrwventurestudio.com/,https://www.linkedin.com/company/tmrw-venture-studio,,,
Allele Fund,https://www.crunchbase.com/organization/allele-fund,"Micro VC, Venture Capital",,,"London, England, United Kingdom",,Allele Fund is an investment fund that invests in high-growth healthcare and technology companies.,"Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.allelefund.com,,,,
GETVISION,https://www.crunchbase.com/organization/getvision,"Accelerator, Venture Capital",,,"London, England, United Kingdom",Early Stage Venture,GETVISION is an international investment company with core focus on Private Equity and Venture Capital deals.,"Europe, Middle East, and Africa (EMEA)",2018-09-19,day,http://www.get-vision.io,https://www.linkedin.com/company/getvision,,,
Cinnamon Bridge,https://www.crunchbase.com/organization/cinnamon-bridge,Accelerator,,,"London, England, United Kingdom",,"Cinnamon Bridge is a platform for brave new food and drink brands. We offer tools, resources & opportunities for disruptive food innovation.","Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.cinnamonbridge.com,https://www.linkedin.com/company/cinnamon-bridge,,,
Terminal 3,https://www.crunchbase.com/organization/terminal3,Accelerator,,,"London, England, United Kingdom",,Travel and Work Remotely across the world with Terminal 3.,"Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.terminal3.co/,https://www.linkedin.com/company/10404066?trk=tyah&trkInfo=clickedVertical%3Acompany%2CclickedEntityId%3A10404066%2Cidx%3A2-1-2%2CtarId%3A1481575213886%2Ctas%3Aterminal%203,,,
Bolt Angels,https://www.crunchbase.com/organization/bolt-angels,Angel Group,,,"London, England, United Kingdom","Debt, Early Stage Venture, Secondary Market, Seed",UK based impact investment syndicate for leading edge tech,"Europe, Middle East, and Africa (EMEA)",2022-01-01,year,https://www.boltangels.co.uk/,https://www.linkedin.com/company/boltangels/,,,
LBS Launchpad,https://www.crunchbase.com/organization/lbs-launchpad,Accelerator,,,"London, England, United Kingdom",,LBS Launchpad operates as a startup pre-accelerator program that is dedicated to transforming ideas into viable businesses.,"Europe, Middle East, and Africa (EMEA)",2017-01-01,year,https://www.lbslaunchpad.com/,https://www.linkedin.com/company/lbs-launchpad/,,,
The Accelerator,https://www.crunchbase.com/organization/the-accelerator,Accelerator,,,"Bethnal Green, Newham, United Kingdom",,The Accelerator From the Young Foundation.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://growingsocialventures.org,,,,
Caboodle Lab Ltd,https://www.crunchbase.com/organization/caboodle-lab-ltd,Incubator,,,"London, England, United Kingdom",,"We advise businesses on; Investment Strategy and Incubation, Digital Strategy, Mobile Strategy, 3D/CGI Experiential, Analytics.","Europe, Middle East, and Africa (EMEA)",2013-06-01,day,http://www.caboodlelab.com,http://www.linkedin.com/company/the-digital-media-room,,,
IdeaHub,https://www.crunchbase.com/organization/ideahub,Accelerator,,,"London, England, United Kingdom",,IdeaHub connects innovators with funding & advice from big established companies.,"Europe, Middle East, and Africa (EMEA)",,,http://www.theideahub.co.uk,,,,
The FAB Accelerator,https://www.crunchbase.com/organization/the-fab-accelerator,Accelerator,,,"Oxford, Oxfordshire, United Kingdom",,Oxford's new accelerator programme for ambitious entrepreneurs and startups.,"Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://fabaccelerator.com,https://www.linkedin.com/company/syndicate-room,,,
ThinkersHQ,https://www.crunchbase.com/organization/thinkershq,Incubator,,,"London, England, United Kingdom",,ThinkersHQ is a boutique investment Firm.,"Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://thinkershq.com/,https://www.linkedin.com/company/thinkershq,,,
CSIT Labs,https://www.crunchbase.com/organization/csit-labs,"Accelerator, Incubator",,,"Belfast, Belfast, United Kingdom",,Engineering viable ventures in cyber security.,"Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://www.csitlabs.com/,,,,
HS.,https://www.crunchbase.com/organization/hs,"Accelerator, Venture Capital",,,"London, England, United Kingdom",Early Stage Venture,"We build, scale and invest in the best health-tech companies","Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://hs.live,https://www.linkedin.com/company/hs-innovation/,,,
Riovic Capital Group,https://www.crunchbase.com/organization/riovic-capital-group,"Corporate Venture Capital, Family Investment Office, Hedge Fund, Investment Bank, Private Equity Firm, Syndicate, Venture Capital",,,"London, England, United Kingdom","Debt, Early Stage Venture, Late Stage Venture, Private Equity, Seed, Venture",Riovic Capital Group is a leading tech investment firm driving innovation and growth.,"Europe, Middle East, and Africa (EMEA)",2015-01-18,day,https://riovic.com,,,,
