Organization/Person Name,Organization/Person Name URL,Investor Type,Number of Investments,Number of Exits,Location,Investment Stage,Description,Regions,Founded Date,Founded Date Precision,Website,LinkedIn,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits (IPO)
B.Braun Accelerator Collaboration Program,https://www.crunchbase.com/organization/b-braun-accelerator-collaboration-program-2020,Accelerator,,,"Melsungen, Hessen, Germany",,B.Braun Accelerator Collaboration Program offers a collaboration program for startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1839-01-01,year,https://www.bbraun.com/en.html,https://www.linkedin.com/company/bbraun-group/,,,
Zukunft Ventures,https://www.crunchbase.com/organization/zukunft-ventures,Corporate Venture Capital,,,"Friedrichshafen, Baden-Wurttemberg, Germany",,Corporate Venture Capital arm of ZF Friedrichshafen,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-09-15,day,http://www.zf.com/zukunftventures,https://www.linkedin.com/company/zf-group,,,
Tempus Capital,https://www.crunchbase.com/organization/tempus-capital-b637,Private Equity Firm,,,"Frankfurt, Hessen, Germany",,Tempus Capital is an owner-managed private equity firm based in Frankfurt am Main.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.tempuscapital.de/#home,https://www.linkedin.com/company/tempuscapitalgmbh,,,
Start Alliance,https://www.crunchbase.com/organization/start-alliance,Accelerator,,,"Berlin, Berlin, Germany",,The Start Alliance is a partnership designed to accelerate entry into new markets for international startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.start-alliance.com/main_frontend.php,,,,
SwanCap Partners,https://www.crunchbase.com/organization/swancap-partners,Private Equity Firm,,,"Munich, Bayern, Germany","Debt, Private Equity",SwanCap is a private markets investment management firm,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.swancap.eu/,https://www.linkedin.com/company/swancap-partners,,,
Taipan Investment GmbH,https://www.crunchbase.com/organization/taipan-investment-gmbh,Incubator,,,"Hannoversch Münden, Niedersachsen, Germany",Seed,Taipan Investment GmbH is the startup investment company in Isernhagen.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,https://www.taipan-investment.com/,https://www.linkedin.com/company/taipan-investment-gmbh,,,
Perusa,https://www.crunchbase.com/organization/perusa,Private Equity Firm,,,"Munich, Bayern, Germany",,Perusa is an international private equity firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2007-01-01,year,http://www.perusa-partners.de,https://www.linkedin.com/company/perusa-partners-gmbh-&-co-kg/,,,
Finexx,https://www.crunchbase.com/organization/finexx,Private Equity Firm,,,"Stuttgart, Baden-Wurttemberg, Germany",,Finexx provides investment and management services and invests in medium-sized companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,http://www.finexx.de/,https://www.linkedin.com/company/finexx-gmbh-unternehmensbeteiligungen/,,,
RIAM Alternative Investments,https://www.crunchbase.com/organization/riam-alternative-investments,Family Investment Office,,,"Frankfurt, Hessen, Germany",,"RIAM Alternative provide family offices and institutional investors with a high-quality, client-focused and flexible advisory service.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.riam-partners.com,https://www.linkedin.com/company/2910465/,,,
Konig & Cie,https://www.crunchbase.com/organization/konig-cie,Private Equity Firm,,,"Hamburg, Hamburg, Germany",,"Konig & Cie is an investment firm whose core business of shipping investments,  private equity, and real estate and Infrastructure.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1999-01-01,year,http://www.koenig-cie.de,https://www.linkedin.com/company/k-nig-&-cie/,,,
VenturePath,https://www.crunchbase.com/organization/venturepath,Accelerator,,,"Berlin, Berlin, Germany",,VenturePath is looking for best and brightest startups. We offer a three month accelerator program that helps early stage startups launch,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-05-01,day,http://venturepath.co,,,,
ACEG,https://www.crunchbase.com/organization/aceg,Family Investment Office,,,"Pogeez, Schleswig-Holstein, Germany",,ACEG focuses on sustainable and socially responsible investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://aceg-gmbh.com,https://www.linkedin.com/company/aceg-beteiligungsgesellschaft-mbh,,,
nzt.capital,https://www.crunchbase.com/organization/nzt-capital,Micro VC,,,"Unterschleißheim, Bayern, Germany",Seed,Nzt.capital is a micro VC investment firm.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://about.nzt.capital,,,,
Beyond Capital Partners,https://www.crunchbase.com/organization/beyond-capital-partners,Private Equity Firm,,,"Frankfurt, Hessen, Germany",,Beyond Capital Partners is an investment fund that provides investments in German family-owned and medium-sized companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,https://www.beyondcapital-partners.com/,https://www.linkedin.com/company/beyondcapital-partners/,,,
PEAKZONE,https://www.crunchbase.com/organization/peakzone,"Accelerator, Venture Capital",,,"Munich, Bayern, Germany","Early Stage Venture, Venture",PEAKZONE is a seed-stage Startup Accelerator based in Munich focussing on Industrial & EnterpriseTech startups.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://peakzone.io/,https://www.linkedin.com/company/peakzone/,,,
Xpreneurs,https://www.crunchbase.com/organization/xpreneurs-2,Incubator,,,"München, Bayern, Germany",,XPRENEURS is a 3-month full time incubation program.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://xpreneurs.io/,https://www.linkedin.com/company/xpreneurs-incubator,,,
HQ Equita,https://www.crunchbase.com/organization/hq-equita,Private Equity Firm,,,"Bad Homburg, Hessen, Germany",Private Equity,HQ Equita is the mid-cap direct buyout firm of HQ Capital.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1992-01-01,year,http://hqequita.com,https://www.linkedin.com/company/hq-equita-gmbh/,,,
AEM Unternehmerkapital,https://www.crunchbase.com/organization/aem-unternehmerkapital,"Private Equity Firm, Venture Capital",,,"Munich, Bayern, Germany",,AEM is a private investment company focused on medium-sized businesses.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,http://www.aem-unternehmerkapital.de/,https://www.linkedin.com/company/aem-unternehmerkapital-gmbh,,,
Odeon Venture Capital AG,https://www.crunchbase.com/organization/odeon-venture-capital-ag,Family Investment Office,,,"Potsdam, Brandenburg, Germany",Private Equity,Odeon Venture Capital takes majority positions in SME,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,http://www.odeon-ag.com,,,,
Muzungu,https://www.crunchbase.com/organization/muzungu,Private Equity Firm,,,"Munich, Bayern, Germany",Private Equity,Muzungu Capital creates value: identify entrepreneurs who bring the right skill set to realize their idea.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://muzungu-capital.com/,,,,
SPARTA,https://www.crunchbase.com/organization/sparta-d1cf,Private Equity Firm,,,"Ziegelhausen, Baden-Wurttemberg, Germany",Private Equity,SPARTA AG is an investment company based in Heidelberg.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1995-01-01,year,https://www.sparta.de,https://www.linkedin.com/company/sparta-ag,,,
Kingstone Capital Partners,https://www.crunchbase.com/organization/kingstone-capital-partners,"Family Investment Office, Venture Capital",,,"Munich, Bayern, Germany","Early Stage Venture, Seed, Venture",Venture Capital (PropTech) and Real Estate Investment Holding,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.kingstone-capital.com,https://www.linkedin.com/company/kingstone-capital-partners-gmbh/about/,,,
Z Lab,https://www.crunchbase.com/organization/z-lab,Incubator,,,"Berlin, Berlin, Germany",,We at Z Lab develop new and sustainable business models to digitize the construction industry,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://www.z-lab.com,https://www.linkedin.com/company/z-lab-gmbh,,,
AgroStart,https://www.crunchbase.com/organization/agrostart,Accelerator,,,"Limburgerhof, Rheinland-Pfalz, Germany",Seed,AgroStart is a program accelerate and promote startups which develop solutions to enhance efficiency and productivity at the Agri segment.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,https://agrostart.basf.com,https://www.linkedin.com/company/basf,,,
SVEDA Holding,https://www.crunchbase.com/organization/sveda-holding,Family Investment Office,,,"Buchholz In Der Nordheide, Niedersachsen, Germany",Seed,Family Holding and Angel Investor,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-01-01,year,https://sveda-holding.de/,https://www.linkedin.com/company/sveda-holding,,,
Palmira Capital Partners,https://www.crunchbase.com/organization/palmira-capital-partners,Private Equity Firm,,,"Frankfurt, Hessen, Germany",Private Equity,"Palmira Capital Partners is a investment manager, specialising in logistics and industrial property.","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.palmira-capital.com/,https://www.linkedin.com/company/palmira-capital-partners/,,,
ST 77 Holding,https://www.crunchbase.com/organization/st-77-holding,Family Investment Office,,,"Ulm, Baden-Wurttemberg, Germany",,ST 77 Holding invests in commercial real estate in Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1977-01-01,year,http://st77.de/,https://www.linkedin.com/company/st-77-holding-gmbh,,,
Topos GmbH,https://www.crunchbase.com/organization/topos-bf9c,"Angel Group, Venture Capital",,,"Hamburg, Hamburg, Germany","Early Stage Venture, Seed, Venture","Topos is a headhunter that focuses on searching, selecting, and recruiting executives and specialists. It also invests into HR-Tech firms.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1988-06-01,day,http://www.topos-consult.de,https://www.linkedin.com/company/topos-personalberatung-gmbh/,,,
Skyfall Capital,https://www.crunchbase.com/organization/skyfall-capital,"Venture Capital, Venture Debt",,,"Frankfurt, Hessen, Germany",,Skyfall is a tech-enabled venture debt fund that invests in technology and sustainable sectors.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-10-15,day,https://skyfallcapital.de,https://www.linkedin.com/company/skyfall-capital/?viewAsMember=true,,,
Greveling Projects,https://www.crunchbase.com/organization/greveling-projects,Family Investment Office,,,"Berlin, Berlin, Germany","Early Stage Venture, Seed",Venture Capital,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-10-01,day,http://www.greveling-projects.com,https://www.linkedin.com/company/greveling-projects/?viewAsMember=true,,,
Ceco Equity GmbH,https://www.crunchbase.com/organization/ceco-equity-gmbh,Private Equity Firm,,,"Regensburg, Bayern, Germany",,Ceco Equity GmbH is a company that offers software investment services.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.ceco-equity.de,https://www.linkedin.com/company/ceco-equity-gmbh,,,
Grunderallianz Data Hub,https://www.crunchbase.com/organization/grunderallianz-data-hub,Accelerator,,,"Essen, Nordrhein-Westfalen, Germany",,Grunderallianz Data Hub program offers startups access to experienced companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.gruenderallianz.ruhr,https://www.linkedin.com/company/gründerallianz-ruhr,,,
bridges+links | Family Venture Network,https://www.crunchbase.com/organization/bridges-links,"Corporate Venture Capital, Family Investment Office, Venture Capital",,,"Hamburg, Hamburg, Germany","Convertible Note, Early Stage Venture, Late Stage Venture, Seed",bridges+links is a venture capital vehicle enabling direct later-stage start-up investments for institutional family investors.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://bridgeslinks.vc,https://www.linkedin.com/company/bridges-links,,,
VC Ventures GmbH,https://www.crunchbase.com/organization/vc-ventures,"Entrepreneurship Program, Incubator, Venture Capital",,,"Baden-baden, Baden-Wurttemberg, Germany","Early Stage Venture, Seed",VC Ventures support young founders in setting up their start-up efficiently and advise SMEs and companies in growth situations.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.vc-ventures.com,,,,
Munkky Ventures,https://www.crunchbase.com/organization/munkky-ventures,"Incubator, Venture Capital",,,"Frankfurt, Hessen, Germany","Early Stage Venture, Non Equity Assistance, Seed",Munkky Ventures is a venture capital firm that aims to help startups grow and succeed.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2019-06-28,day,https://www.munkky.com,https://www.linkedin.com/company/munkky/about/,,,
Colonia Private Equity,https://www.crunchbase.com/organization/colonia-private-equity,Private Equity Firm,,,"Cologne, Nordrhein-Westfalen, Germany",Private Equity,Colonia Private Equity invest in growth companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2005-01-01,year,https://www.colonia-private-equity.com/,,,,
INOVIS Capital GmbH,https://www.crunchbase.com/organization/inovis-capital,Private Equity Firm,,,"Munich, Bayern, Germany",,INOVIS Capital is an independent corporate finance and M&A boutique,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.inoviscapital.com,,,,
Trigon Equity Partners,https://www.crunchbase.com/organization/trigon-equity-partners,Private Equity Firm,,,"Frankfurt, Hessen, Germany",,"Trigon Equity Partners is a private equity company with focus on German mid-cap companies in the areas of industry, trade and service.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2010-01-01,year,http://www.trigonequity.com,https://www.linkedin.com/company/trigon-equities,,,
fctb.,https://www.crunchbase.com/organization/fctb,"Family Investment Office, Micro VC",,,"Würselen, Nordrhein-Westfalen, Germany",Seed,fctb. is an early stage venture capital investor that provides financial resources and access to a large network to their portfolio firms.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-10-08,day,https://www.fctb.de,https://www.linkedin.com/company/fctb-gmbh/,,,
Retailtech Hub,https://www.crunchbase.com/organization/retailtech-hub,Accelerator,,,"Munich, Bayern, Germany",Seed,"Retailtech Hub is a digital innovation platform which acts as a match-making platform between startups, retailers, and investors.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-08-01,month,http://retailtechhub.com/,https://www.linkedin.com/company/retailtech-hub/,,,
HyperLink Technology,https://www.crunchbase.com/organization/hyperlink-technology,"Private Equity Firm, Venture Capital",,,"Albstadt, Baden-Wurttemberg, Germany","Early Stage Venture, Initial Coin Offering, Late Stage Venture, Private Equity, Seed, Venture",HyperLink Technology is an innovative investment firm focused on blockchain based capital markets and tokenized securities.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-07-01,day,https://hyperlink.technology,,,,
Highlight Ventures,https://www.crunchbase.com/organization/highlight-ventures,"Angel Group, Venture Capital",,,"Berlin, Berlin, Germany",,"Highlight invests in companies at seed, especially focused in web & mobile applications.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-09-11,day,http://www.highlight.vc,https://www.linkedin.com/company/highlight-ventures-jsc,,,
KingstoneSchweizer Ventures,https://www.crunchbase.com/organization/kingstoneschweizer-ventures,Family Investment Office,,,"Düsseldorf, Nordrhein-Westfalen, Germany",,KingstoneSchweizer Ventures operates as a family office joint venture.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,https://www.kingstone-schweizer.com/,https://www.linkedin.com/company/kingstone-schweizer-ventures/,,,
AdCapital,https://www.crunchbase.com/organization/adcapital,Private Equity Firm,,,"Tuttlingen, Baden-Wurttemberg, Germany",,"AD Capital Partners offers independent and innovative financial advisory services in two main areas, corporate advisory and investment.","European Union (EU), Europe, Middle East, and Africa (EMEA)",1979-01-01,year,http://www.adcapital.de,https://www.linkedin.com/company/adcapital-ag-adc-,,,
Accursia Capital,https://www.crunchbase.com/organization/accursia-capital,Private Equity Firm,,,"München, Bayern, Germany",,Accursia Capital is a Munich based private equity holding and invests in mid-sized industry companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2017-01-01,year,http://www.accursia-capital.com/,https://www.linkedin.com/company/accursia-capital-gmbh,,,
Combine Innovation,https://www.crunchbase.com/organization/combine-innovation,Family Investment Office,,,"Stuttgart, Baden-Wurttemberg, Germany",Early Stage Venture,We invest in exceptional teams that want to create remarkable things.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1985-01-01,year,https://combine-innovation.com,https://www.linkedin.com/company/combine-innovation,,,
SpielFabrique,https://www.crunchbase.com/organization/spielfabrique,Accelerator,,,"Düsseldorf, Nordrhein-Westfalen, Germany",,SpielFabrique is an accelerator program for start-ups and young entrepreneurs in the games market.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2016-01-01,year,http://spielfabrique.eu/en/home-2/,https://www.linkedin.com/company/spielfabrique/,,,
Value Holdings,https://www.crunchbase.com/organization/value-holdings,Private Equity Firm,,,"Augsburg, Bayern, Germany",Private Equity,Value Holdings is a privately owned investment manager.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1992-01-01,year,https://www.value-holdings.de,https://www.linkedin.com/company/value-holdings,,,
RISE Africa,https://www.crunchbase.com/organization/rise-5,Incubator,,,"Bonn, Nordrhein-Westfalen, Germany",,RISE Africa is a startup incubator aimed at African startups in the financial services space.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-10-01,month,https://riseafrica.iclei.org/,,,,
Corvis Family Office,https://www.crunchbase.com/organization/corvis-family-office,Family Investment Office,,,"Essen, Nordrhein-Westfalen, Germany",,Corvis Family Office is an investment firm that invests in commercial real estate and the mechanical and plant engineering sector.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-01-01,year,https://corvis.org,https://www.linkedin.com/company/corvis-family-office,,,
KATANA Accelerator,https://www.crunchbase.com/organization/katana-accelerator,Accelerator,,,"Stuttgart, Baden-Wurttemberg, Germany",Seed,KATANA accelerator aims to support all European start-ups and SMEs.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://katanaproject.eu/,,,,
Fabelhaft Ventures,https://www.crunchbase.com/organization/fabelhaft-ventures,"Private Equity Firm, Venture Capital",,,"Frankfurt, Hessen, Germany",Seed,Fabelhaft Ventures builds and invests in companies that redefine the rules of their industry.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-06-01,month,https://www.fabelhaft.co,,,,
KlickVentures,https://www.crunchbase.com/organization/klickventures,"Micro VC, Venture Capital",,,"Cologne, Nordrhein-Westfalen, Germany",,KlickVentures is a German venture capitalist that provides consulting for digital transformation.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://klickventures.com,http://www.linkedin.com/company/1527816,,,
reziprok ventures,https://www.crunchbase.com/organization/reziprok-ventures,"Angel Group, Family Investment Office, Private Equity Firm, Startup Competition, Syndicate, Venture Capital",,,"Berlin, Berlin, Germany","Early Stage Venture, Private Equity, Seed","AI, Platform, Mobility, Sustainability, Gaming, Social","European Union (EU), Europe, Middle East, and Africa (EMEA)",2022-01-04,day,,,,,
Wortmann Family Office.,https://www.crunchbase.com/organization/wortmann-family-office,Family Investment Office,,,"Detmold, Nordrhein-Westfalen, Germany",,Wortmann Family Office is an Investment company.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,,,,
Pentapart Beteiligungskapital,https://www.crunchbase.com/organization/pentapart-beteiligungskapital,Private Equity Firm,,,"Altenmedingen, Niedersachsen, Germany",Private Equity,Pentapart Beteiligungskapital is an investment firm that seeks to invest in small or medium companies in DACH region.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.pentapart.com/,,,,
Foundfair Ventures,https://www.crunchbase.com/organization/foundfair-ventures,Angel Group,,,"Berlin, Berlin, Germany",,"Foundfair Ventures are found and support  ventures from idea to exit with intense hands-on support, experience and network.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.foundfair.de,http://www.linkedin.com/company/1599808,,,
Premium Equity Partners,https://www.crunchbase.com/organization/premium-equity-partners,Private Equity Firm,,,"Frankfurt, Hessen, Germany",Private Equity,Premium Equity Partners is a financial institution that practices long-term investment and financing strategies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2011-01-01,year,http://www.premium-equity.com/,,,,
Lindsay Goldberg Vogel,https://www.crunchbase.com/organization/lindsay-goldberg-vogell,Private Equity Firm,,,"Düsseldorf, Nordrhein-Westfalen, Germany",Private Equity,Lindsay Goldberg Vogel has extensive experience in a variety of industries and pursues strategic goals with a long-term orientation.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.lindsaygoldbergvogel.com/,https://www.linkedin.com/company/lindsay-goldberg-vogel-gmbh,,,
Magmatic Ventures,https://www.crunchbase.com/organization/magmatic-ventures,"Micro VC, Venture Capital",,,"Düsseldorf, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed","Magmatic Ventures is offer financing and entrepreneurial support to founders.  Based in Düsseldorf, investing globally.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,year,https://www.magmatic.ventures,https://www.linkedin.com/company/magmatic-ventures/,,,
SFO,https://www.crunchbase.com/organization/sfo,Private Equity Firm,,,"München, Bayern, Germany",,SFO Group offers concrete and economically comprehensible solutions.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2013-01-01,year,https://sfo-group.de/,,,,
Zehden Enterprises GmbH & Co. KG,https://www.crunchbase.com/organization/zehden-enterprises-gmbh-co-kg,Family Investment Office,,,"Berlin, Berlin, Germany",,Zehden Enterprises GmbH & Co. KG is a small family owned company that seeks to invest in new Start -Up companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2008-01-01,year,http://www.zehden-enterprises.de/,https://in.linkedin.com/company/zehden-enterprises-gmbh-&-co-kg,,,
dynamics - powered by MHP,https://www.crunchbase.com/organization/dynamics-powered-by-mhp,"Accelerator, Corporate Venture Capital",,,"Berlin, Berlin, Germany",Early Stage Venture,dynamics - powered by MHP is a investor and startup/corporate matchmaking program.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2018-01-01,month,https://www.dynamics.vc/,https://www.linkedin.com/company/dynamicsvc/,,,
HCM Handwerk Capital Management - HCM,https://www.crunchbase.com/organization/hcm-handwerk-capital-management-hcm,"Micro VC, Venture Capital",,,"Quickborn, Schleswig-Holstein, Germany",,The HCM consulting and investment company with a long history and expertise.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1996-01-01,year,http://www.hcminfo.de/,https://www.linkedin.com/company/hcm-handwerk-consult-mittelstandsberatung,,,
JETPACK,https://www.crunchbase.com/organization/jetpack-446e,"Private Equity Firm, Venture Capital",,,"Berlin, Berlin, Germany",,"JETPACK invests in technological startups at various stages, including inception, (pre-)seed, and Series A.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://www.jetpack.berlin,https://www.linkedin.com/company/jetpack-berlin,,,
Argantis,https://www.crunchbase.com/organization/argantis,Private Equity Firm,,,"Köln, Nordrhein-Westfalen, Germany",,"Argantis GmbH operates as a private equity firm and it specializes in middle market, management buyouts, buy-ins, owner buy-outs, growth.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2003-01-01,year,http://www.argantis.de,,,,
heimathafen Wiesbaden,https://www.crunchbase.com/organization/heimathafen-wiesbaden,Co-Working Space,,,"Wiesbaden, Hessen, Germany",,heimathafen Wiesbaden was founded in 2012,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-08-01,day,http://heimathafen-wiesbaden.de,https://www.linkedin.com/company/heimathafen-wiesbaden,,,
Scherzer & Co.,https://www.crunchbase.com/organization/scherzer-co,Private Equity Firm,,,"Cologne, Nordrhein-Westfalen, Germany",,Scherzer and Co. provides asset management services.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1880-01-01,day,https://www.scherzer-ag.de/,https://www.linkedin.com/company/scherzer-co-ag/,,,
Allegra Capital,https://www.crunchbase.com/organization/allegra-capital-5243,Private Equity Firm,,,"Munich, Bayern, Germany",,Allegra Capital is a private equity firm with a focus on the acquisition of medium-sized corporate subsidiaries in special situations.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2000-01-01,year,https://allegracapital.com/,,,,
EDUvation,https://www.crunchbase.com/organization/eduvation,Angel Group,,,"Bielefeld, Nordrhein-Westfalen, Germany",,EDUvation is angel investor in education.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,,http://www.eduvation.de/,https://www.linkedin.com/company/eduvationgermany,,,
RULEBREAKER Management,https://www.crunchbase.com/organization/rulebreaker-management,Angel Group,,,"Hanover, Niedersachsen, Germany",Early Stage Venture,RULEBREAKER Management GmbH is an investment company for disruptive innovations in the early stages of company formation.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,http://www.rulebreaker-management.com,,,,
EOS Capital Partners,https://www.crunchbase.com/organization/eos-capital-partners,Private Equity Firm,,,"Munich, Bayern, Germany",Private Equity,EOS Capital Partners is an owner-managed investment company with a focus on medium-sized companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2015-01-01,year,https://www.eoscp.com/,https://www.linkedin.com/company/eos-capital-partners-ii-gmbh/,,,
Motherland,https://www.crunchbase.com/organization/motherland-49ff,Accelerator,,,"Berlin, Berlin, Germany",,Motherland provides support and assistance to startups with sustainable goals.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2020-01-01,year,https://motherland.earth/,https://www.linkedin.com/company/motherland-earth,,,
Cartagena Capital,https://www.crunchbase.com/organization/cartagena-capital,Investment Bank,,,"Munich, Bayern, Germany",,Cartagena Capital is a technology-focused mergers and acquisitions advisory firm headquartered in Germany.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2001-01-01,year,http://cartagena-capital.com/,http://www.linkedin.com/company/cartagena-capital,,,
cm7 GmbH & Co. KG,https://www.crunchbase.com/organization/cm7-gmbh-co-kg,"Angel Group, Venture Capital",,,"Cologne, Nordrhein-Westfalen, Germany","Early Stage Venture, Seed",cm7 GmbH & C2014o. KG operates as a business angel.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.cmsieben.de/,,,,
Core Industries,https://www.crunchbase.com/organization/core-industries-21c3,Private Equity Firm,,,"Munich, Bayern, Germany",Private Equity,"Core Industries is a partner-led private equity firm invests in companies in growth, succession and crisis situations.","European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,http://www.core-industries.de,https://www.linkedin.com/company/core-industries-gmbh,,,
Rigeto,https://www.crunchbase.com/organization/rigeto,Private Equity Firm,,,"Munich, Bayern, Germany",,Rigeto invests private assets of entrepreneurs and entrepreneur families in medium-sized companies for long-term value enhancement.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2014-01-01,year,http://www.rigeto.de,https://www.linkedin.com/company/rigeto/,,,
APEX Capital,https://www.crunchbase.com/organization/apex-capital-7687,Private Equity Firm,,,"Berlin, Berlin, Germany",,APEX invests in companies located in German-speaking countries with sales revenue between €5m and €15m.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2006-01-01,year,http://www.apexcapital.de/,,,,
Seafort Advisors,https://www.crunchbase.com/organization/seafort-advisors,Private Equity Firm,,,"Hamburg, Hamburg, Germany",,Seafort Advisors is a private equity firm specializing in buyouts and secondary investments.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2012-01-01,year,http://www.seafort.de,,,,
Walhalla Capital GmbH,https://www.crunchbase.com/organization/walhalla-capital-gmbh,"Family Investment Office, Hedge Fund, Venture Capital",,,"Munich, Bayern, Germany","Early Stage Venture, Private Equity, Venture",A privately focused investment company operating in all major crypto markets,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2021-01-01,year,,https://www.linkedin.com/company/walhalla-capital-gmbh,,,
VISION UNLTD. CREATIVE WORX GmbH,https://www.crunchbase.com/organization/vision-unltd-creative-worx-gmbh,Incubator,,,"Cologne, Nordrhein-Westfalen, Germany","Crowdfunding, Early Stage Venture, Private Equity, Seed",VUCX Garage - Inkubator / Accelarator,"European Union (EU), Europe, Middle East, and Africa (EMEA)",1993-01-01,year,http://www.vucx.de/garage,https://www.linkedin.com/company/vision-unltd.-creative-worx,,,
LMP PARTNERS,https://www.crunchbase.com/organization/lmp-partners,"Private Equity Firm, Venture Capital",,,"Munich, Bayern, Germany",Private Equity,LMP PARTNERS is an investment firm specializing in the financing and development of innovative and progressively growing companies.,"European Union (EU), Europe, Middle East, and Africa (EMEA)",2009-01-01,year,https://lmp-partners.de/,https://www.linkedin.com/company/lmppartners/,,,
