Transaction Name,Transaction Name URL,Acquiree Headquarters Location,Acquiree Name,Acquiree Name URL,Acquirer Name,Acquirer Name URL,Announced Date,Announced Date Precision,Acquisition Type,Acquisition Terms,Price,Price Currency,Price (in USD),Acquiree Description,Acquiree Last Funding Type,Acquiree Industries,Acquiree's Website,Acquiree Headquarters Regions,Acquiree's Estimated Revenue Range,Acquiree Funding Status,Acquiree's Number of Funding Rounds,Acquiree's Total Funding Amount,Acquiree's Total Funding Amount Currency,Acquiree's Total Funding Amount (in USD),Acquirer's Description,Acquirer Industries,Acquirer Headquarters Location,Acquirer Headquarters Regions,Acquirer's Website,Acquirer's Estimated Revenue Range,Acquirer's Total Funding Amount,Acquirer's Total Funding Amount Currency,Acquirer's Total Funding Amount (in USD),Acquirer Funding Status,Acquirer's Number of Funding Rounds,CB Rank (Acquisition)
Tausendkind acquired by Droege International Group,https://www.crunchbase.com/acquisition/droege-international-group-acquires-tausendkind--39813235,"Berlin, Berlin, Germany",Tausendkind,https://www.crunchbase.com/organization/tausendkind,Droege International Group,https://www.crunchbase.com/organization/droege-international-group,2020-06-05,day,Acquisition,,,,,Tausendkind operates as an e-commerce one-stop shop for infants up to the age of eight. ,Venture - Series Unknown,"Children, E-Commerce, Fashion, Lifestyle, Shopping",http://www.tausendkind.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,6,15000000,EUR,18372491,Droege International Group is family equity business model.,Banking,"Düsseldorf, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.droege-group.com/de/home/,$100M to $500M,,,,,,"45,406"
Teambay acquired by Staffbase,https://www.crunchbase.com/acquisition/staffbase-acquires-teambay--891f4435,"Berlin, Berlin, Germany",Teambay,https://www.crunchbase.com/organization/teambay,Staffbase,https://www.crunchbase.com/organization/staffbase,2020-10-01,day,Acquisition,,,,,"Teambay is an innovative tech company helping organisations build better culture, improve communication and foster.",,"B2B, Enterprise Software, Human Resources, Software",http://teambay.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,"Staffbase Communications Cloud provides companies with a complete platform to develop, deliver, and measure communications that inspire.","Enterprise Software, Mobile Apps, SaaS, Software","Chemnitz, Sachsen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://staffbase.com,$100M to $500M,305827764,USD,305827764,Late Stage Venture,7,"140,783"
Tele Columbus acquired by Morgan Stanley Infrastructure Partners,https://www.crunchbase.com/acquisition/morgan-stanley-infrastructure-partners-acquires-tele-columbus--2bd24e37,"Berlin, Berlin, Germany",Tele Columbus,https://www.crunchbase.com/organization/tele-columbus,Morgan Stanley Infrastructure Partners,https://www.crunchbase.com/organization/morgan-stanley-infrastructure-partners,2020-12-21,day,Leveraged Buyout,,410000000,EUR,501737726,Tele Columbus is a large cable provider in Germany with 1.7 million connected households on network level 4.,,"Internet, Telecommunications",https://www.telecolumbus.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$100M to $500M,M&A,,,,,Morgan Stanley Infrastructure Partners is a infrastructure investment platform focused on the acquisition of private infrastructure assets.,,"New York, New York, United States","Greater New York Area, East Coast, Northeastern US",https://www.morganstanley.com/im/en-ch/intermediary-investor/about-us/investment-teams/real-assets/private-infrastructure-team.html,,,,,,,"18,190"
Testerheld acquired by exmox,https://www.crunchbase.com/acquisition/exmox-acquires-testerheld--08a3717c,"Berlin, Berlin, Germany",Testerheld,https://www.crunchbase.com/organization/testerheld,exmox,https://www.crunchbase.com/organization/exmox,2022-05-13,day,Acquisition,,,,,"Testerheld is an online market research platform that allows users to test the products of large companies, provide feedback & earn rewards.",,"Communities, Market Research, Online Portals",https://testerheld.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,exmox is a private performance marketing network dedicated to gaming.,"Advertising, Marketing, PC Games","Norderstedt, Schleswig-Holstein, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://exmox.com/,$1M to $10M,,,,M&A,,"52,656"
The Grounds acquired by H.I.G. Capital,https://www.crunchbase.com/acquisition/hig-capital-acquires-the-grounds--65443977,"Berlin, Berlin, Germany",The Grounds,https://www.crunchbase.com/organization/the-grounds,H.I.G. Capital,https://www.crunchbase.com/organization/hig-capital,2023-10-13,day,Acquisition,,,,,"The Grounds specializes in purchasing, selling, trading and developing affordable residential accommodations.",,"Asset Management, Property Management, Real Estate",https://www.thegroundsag.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,,,,,"H.I.G. Capital is an investment firm that includes private equity, real estate, and health industries.","Credit, Finance, Financial Services, Insurance, Real Estate","Miami, Florida, United States","Greater Miami Area, East Coast, Southern US",https://hig.com,$100M to $500M,36475924,USD,36475924,,2,329
The Stryze Group acquired by Razor Group,https://www.crunchbase.com/acquisition/razor-group-acquires-the-stryze-group--86200e70,"Berlin, Berlin, Germany",The Stryze Group,https://www.crunchbase.com/organization/the-stryze-group,Razor Group,https://www.crunchbase.com/organization/razor-group,2023-04-17,day,Acquisition,,,,,"The Stryze Group is a D2C brand holding company that develops, buys, and scales D2C brands in order to take them to the next level.",Private Equity,"Consumer Goods, E-Commerce",https://stryze.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$500M to $1B,M&A,1,100000000,USD,100000000,Razor Group is a global consumer holding company that partners with e-commerce merchants to acquire and scale brands.,"Brand Marketing, Business Development, E-Commerce, Internet, Retail","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://razor-group.com,$500M to $1B,1147774035,USD,1147774035,Late Stage Venture,11,"31,462"
Thermondo acquired by Brookfield Infrastructure Partners,https://www.crunchbase.com/acquisition/brookfield-infrastructure-partners-acquires-thermondo--e29417cb,"Berlin, Berlin, Germany",Thermondo,https://www.crunchbase.com/organization/thermondo,Brookfield Infrastructure Partners,https://www.crunchbase.com/organization/brookfield-infrastructure-partners,2021-01-08,day,Leveraged Buyout,,,,,Thermondo promote the energy transition with innovative heat solutions.,Venture - Series Unknown,"Energy, Energy Efficiency, Renewable Energy",https://www.thermondo.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,8,63300000,EUR,72145435,"Brookfield Infrastructure Partners manages infrastructure networks that enable the transportation of energy, water, freight, and data.","Asset Management, Infrastructure, Real Estate","Toronto, Ontario, Canada",Great Lakes,https://bip.brookfield.com,$10B+,1150000000,USD,1150000000,IPO,3,"44,890"
Think-cell acquired by Cinven,https://www.crunchbase.com/acquisition/cinven-acquires-think-cell--b87ad481,"Berlin, Berlin, Germany",Think-cell,https://www.crunchbase.com/organization/think-cell,Cinven,https://www.crunchbase.com/organization/cinven,2021-05-31,day,Leveraged Buyout,,,,,Think-cell is a developer of graphics software to improve professional slide production in Microsoft PowerPoint.,,"Software, Software Engineering",https://www.think-cell.com/en/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,"Cinven is a private equity firm that invests in firms that provide business services, consumer goods, financial services.","Financial Services, Health Care, Telecommunications, Venture Capital","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.cinven.com,$1B to $10B,,,,,,"136,262"
Tib Molbiol acquired by Roche,https://www.crunchbase.com/acquisition/roche-acquires-tib-molbiol--af329ad2,"Berlin, Berlin, Germany",Tib Molbiol,https://www.crunchbase.com/organization/tib-molbiol,Roche,https://www.crunchbase.com/organization/roche,2021-09-09,day,Acquisition,,,,,TIB MOLBIOL has been providing custom synthesis of oligonucleotides to a growing number of customers worldwide.,,"Biotechnology, Life Science, Manufacturing",https://tib-molbiol.com//,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Roche is a pharmaceutical and diagnostics company that offers medicines and diagnostic tests for various medical conditions and diseases.,"Biotechnology, Health Care, Health Diagnostics, Pharmaceutical, Precision Medicine","Basel, Basel-Stadt, Switzerland","Europe, Middle East, and Africa (EMEA)",http://www.roche.com,$10B+,7790500000,USD,7790500000,IPO,4,"165,066"
Tillhub acquired by Unzer,https://www.crunchbase.com/acquisition/unzer-acquires-tillhub--e5eead0a,"Berlin, Berlin, Germany",Tillhub,https://www.crunchbase.com/organization/tillhub,Unzer,https://www.crunchbase.com/organization/unzer,2022-04-13,day,Acquisition,,,,,Tillhub provides POS system for retailers and service providers.,Corporate Round,"Cloud Computing, Cloud Data Services, Internet, Point of Sale, Software",https://www.tillhub.de,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,7000000,EUR,8219541,"Unzer is a fast-growing, innovative, and modular platform for international payments.",Financial Services,"Heidelberg, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://unzer.com,$50M to $100M,,,,,,"19,098"
TNX Logistics acquired by Transporeon,https://www.crunchbase.com/acquisition/transporeon-acquires-tnx--586f3681,"Berlin, Berlin, Germany",TNX Logistics,https://www.crunchbase.com/organization/tnx,Transporeon,https://www.crunchbase.com/organization/transporeon,2021-06-10,day,Acquisition,,,,,TNX Logistics is a procure-to-pay platform lowering transport spend and introducing zero-touch invoicing for major users of road transport.,Seed,"FinTech, Logistics, Procurement, SaaS, Software, Transportation",https://www.tnx-logistics.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,,,,"Transporeon allows shippers, forwarders, carriers and retailers to move, manage, and monitor freight.","Enterprise Software, Logistics, Supply Chain Management","Ulm, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.transporeon.com,$100M to $500M,35000000,GBP,45780000,M&A,2,"55,729"
Tracks acquired by Transporeon,https://www.crunchbase.com/acquisition/transporeon-acquires-tracks-fa20--d86b374b,"Berlin, Berlin, Germany",Tracks,https://www.crunchbase.com/organization/tracks-fa20,Transporeon,https://www.crunchbase.com/organization/transporeon,2022-08-18,day,Acquisition,,,,,"We pioneer the road freight industry’s transformation towards greater efficiency, supply chain transparency and environmental sustainability",Seed,"Analytics, Artificial Intelligence (AI), Freight Service, Information Technology, Logistics, Software, Supply Chain Management, Transportation",http://tracks.eco,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,3,1894000,EUR,2250651,"Transporeon allows shippers, forwarders, carriers and retailers to move, manage, and monitor freight.","Enterprise Software, Logistics, Supply Chain Management","Ulm, Baden-Wurttemberg, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.transporeon.com,$100M to $500M,35000000,GBP,45780000,M&A,2,"38,436"
Traffics acquired by Orchestra,https://www.crunchbase.com/acquisition/orchestra-2-acquires-traffics-software-systems-for-tourism--abc1e6e0,"Berlin, Berlin, Germany",Traffics,https://www.crunchbase.com/organization/traffics-software-systems-for-tourism,Orchestra,https://www.crunchbase.com/organization/orchestra-2,2022-06-16,day,Merger,,,,,Traffics offers travel technology solutions.,,"Logistics, Software, Transportation",https://www.traffics.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Orchestra is an online platform dedicated to the travel industry.,"Leisure, Travel","Lopera, Andalucia, Spain","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://orchestra.eu,,,,,M&A,1,"23,312"
Treasury Intelligence Solutions acquired by Marlin Equity Partners,https://www.crunchbase.com/acquisition/marlin-equity-partners-acquires-treasury-intelligence-solutions--1a9eefeb,"Berlin, Berlin, Germany",Treasury Intelligence Solutions,https://www.crunchbase.com/organization/treasury-intelligence-solutions,Marlin Equity Partners,https://www.crunchbase.com/organization/marlin-equity-partners,2024-03-26,day,Acquisition,,,,,"Treasury Intelligence Solutions is a cloud-based software for payments, cashflow, liquidity, and financial services.",Debt Financing,"Big Data, Business Intelligence, Cloud Computing, Cloud Management, Cloud Security, Enterprise Software, Information Technology, Payments, SaaS, Software",http://www.tispayments.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,7,94595660,USD,94595660,"Marlin Equity Partners provides corporate parents, shareholders, and stakeholders with solutions to meet their business and liquidity needs.","Finance, Financial Services, Venture Capital","Hermosa Beach, California, United States","Greater Los Angeles Area, West Coast, Western US",https://www.marlinequity.com,,,,,,1,"11,596"
Tribe acquired by Mister Spex,https://www.crunchbase.com/acquisition/mister-spex-acquires-tribe-070a--c1e7c2d4,"Berlin, Berlin, Germany",Tribe,https://www.crunchbase.com/organization/tribe-070a,Mister Spex,https://www.crunchbase.com/organization/mister-spex,2020-12-07,day,Acquisition,,,,,Tribe specializes in AI-based applications designed to improve the customer’s experience when buying glasses.,,"Augmented Reality, B2B, Eyewear, Information Services, Information Technology, Machine Learning, Software",https://www.tribeapp.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,,,,,Mister Spex is an online store that sells various brands of glasses and contact lenses.,"E-Commerce, Eyewear, Internet, Retail, Shopping","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://misterspex.de,$100M to $500M,158009427,USD,158009427,IPO,11,"110,128"
Trip.me acquired by TravelLocal,https://www.crunchbase.com/acquisition/travellocal-acquires-trip-me--91fd3fce,"Berlin, Berlin, Germany",Trip.me,https://www.crunchbase.com/organization/trip-me,TravelLocal,https://www.crunchbase.com/organization/travellocal,2021-08-03,day,Merger,,,,,"Simply put, trip.me is a way to connect directly with local tour providers in any country you wish to visit.",Series A,"Tourism, Travel",http://www.trip.me,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,,,,Global managed marketplace for tailor-made holidays.,"Internet, Marketplace, Tourism, Travel, Travel Agency","Bristol, Bristol, City of, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.travellocal.com,$10M to $50M,18800000,GBP,23999707,Early Stage Venture,3,"33,377"
Twenty Billion Neurons acquired by Qualcomm,https://www.crunchbase.com/acquisition/qualcomm-acquires-twenty-billion-neurons-gmbh-2--be7c8d05,"Berlin, Berlin, Germany",Twenty Billion Neurons,https://www.crunchbase.com/organization/twenty-billion-neurons-gmbh-2,Qualcomm,https://www.crunchbase.com/organization/qualcomm,2021-07-19,day,Acquisition,,,,,Twenty Billion Neurons is a common sense A.I. company that builds intelligent avatars that can see and interact with you in a humanlike way.,Series A,"Artificial Intelligence (AI), Computer Vision, Enterprise Software, Human Computer Interaction, Machine Learning, Robotics",https://20bn.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,12500000,USD,12500000,"Qualcomm designs, manufactures, and markets digital wireless telecommunications products and services.","Artificial Intelligence (AI), Generative AI, Software, Telecommunications, Wireless","San Diego, California, United States","Greater San Diego Area, West Coast, Western US",http://www.qualcomm.com,$10B+,3500000,USD,3500000,IPO,1,"14,908"
Ubermetrics acquired by Unicepta,https://www.crunchbase.com/acquisition/unicepta-acquires-ubermetrics--1708b80d,"Berlin, Berlin, Germany",Ubermetrics,https://www.crunchbase.com/organization/ubermetrics,Unicepta,https://www.crunchbase.com/organization/unicepta,2021-01-15,day,Acquisition,,,,,Ubermetrics is a content intelligence platform for Marketing & PR experts.,Series A,"Analytics, Artificial Intelligence (AI), Content, Marketing",https://www.ubermetrics-technologies.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,2,750000,USD,750000,"Unicepta is a provider of media monitoring, media analysis, research services and communications consulting services.",Media and Entertainment,"Cologne, Nordrhein-Westfalen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.unicepta.com,$50M to $100M,,,,M&A,,"97,958"
ubitricity acquired by Shell,https://www.crunchbase.com/acquisition/royal-dutch-shell-acquires-ubitricity--eb23d2fb,"Berlin, Berlin, Germany",ubitricity,https://www.crunchbase.com/organization/ubitricity,Shell,https://www.crunchbase.com/organization/royal-dutch-shell,2021-01-25,day,Acquisition,,,,,Ubitricity focuses on developing charging infrastructure for electric vehicles.,Grant,"Charging Infrastructure, Clean Energy, Electric Vehicle, Environmental Engineering, Renewable Energy",https://ubitricity.com/en/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,4,21800000,EUR,24854714,Shell is a global group of energy and petrochemicals companies.,"Energy, Oil and Gas, Renewable Energy","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.shell.com,$10B+,750000000,USD,750000000,IPO,1,"114,304"
ucair acquired by Above Surveying Ltd,https://www.crunchbase.com/acquisition/above-surveying-ltd-acquires-ucair-gmbh--4320ed21,"Berlin, Berlin, Germany",ucair,https://www.crunchbase.com/organization/ucair-gmbh,Above Surveying Ltd,https://www.crunchbase.com/organization/above-surveying-ltd,2020-01-01,month,Acquisition,Cash,,,,ucair is a platform for thermographic droneinspections of solar power plants,Seed,"Drone Management, Drones, Energy, Renewable Energy, Solar",https://ucair.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,1,,,,Above Surveying is the solar industry’s leading aerial solar inspection and data analysis company.,"Asset Management, Drones, Renewable Energy, Solar","Colchester, Essex, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://abovesurveying.com,$1M to $10M,3200000,GBP,4304413,Early Stage Venture,2,"135,722"
Ultimate acquired by Zendesk,https://www.crunchbase.com/acquisition/zendesk-acquires-ultimate-ai--c0fd1ba3,"Berlin, Berlin, Germany",Ultimate,https://www.crunchbase.com/organization/ultimate-ai,Zendesk,https://www.crunchbase.com/organization/zendesk,2024-03-13,day,Acquisition,,,,,Ultimate is a virtual agent platform that offers customer service automation.,Non-equity Assistance,"Artificial Intelligence (AI), Chatbot, Information Technology, SaaS, Small and Medium Businesses",https://www.ultimate.ai/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,7,27400545,USD,27400545,Zendesk develops a customizable customer service platform for organizations.,"Customer Service, Data Management, Enterprise Software, Software, Technical Support","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",http://zendesk.com,$1B to $10B,85500000,USD,85500000,M&A,9,"13,091"
Uniwhere acquired by Develhope,https://www.crunchbase.com/acquisition/develhope-acquires-uniwhere--2309834e,"Berlin, Berlin, Germany",Uniwhere,https://www.crunchbase.com/organization/uniwhere,Develhope,https://www.crunchbase.com/organization/develhope,2021-09-01,month,Acquisition,,,,,Help students stay on top of their college life,Pre-Seed,"Collaboration, Communities, Education, Email, Higher Education, Internet, Private Social Networking, Productivity Tools, Universities",http://www.uniwhere.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,720000,EUR,823067,Develhope offers programming and digital skills through online services.,"EdTech, Information Services, Information Technology","Palermo, Sicilia, Italy","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.develhope.co,,8000000,EUR,8931490,Early Stage Venture,2,"89,906"
UP42 acquired by Neo Space Group,https://www.crunchbase.com/acquisition/neo-space-group-acquires-up42--90873e0e,"Berlin, Berlin, Germany",UP42,https://www.crunchbase.com/organization/up42,Neo Space Group,https://www.crunchbase.com/organization/neo-space-group,2024-12-03,day,Acquisition,,,,,"UP42 is an open platform and marketplace to build, run, and scale geospatial products. The company is a subsidiary of Airbus.",,Marketplace,https://up42.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,NEO SPACE GROUP (NSG) is a global space services company offering a broad portfolio of services in the fields of satellite communications.,,"Riyadh, Ar Riyad, Saudi Arabia","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",https://www.neospacegroup.com/en,,,,,,,480
Uplift1 acquired by Silvr,https://www.crunchbase.com/acquisition/silvr-178d-acquires-uplift1--b98d3fc0,"Berlin, Berlin, Germany",Uplift1,https://www.crunchbase.com/organization/uplift1,Silvr,https://www.crunchbase.com/organization/silvr-178d,2023-03-21,day,Acquisition,,,,,Uplift1 is a revenue-based funding for growth companies.,,"Business Development, Finance, Financial Services, Venture Capital",http://www.uplift1.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Silvr is a financial provider for digital entrepreneurs with the help of data-based scoring technology.,"Business Development, Financial Services, FinTech","Paris, Ile-de-France, France","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://silvr.co,Less than $1M,363000000,EUR,401712563,Early Stage Venture,4,"50,898"
Urbanara acquired by Social Chain,https://www.crunchbase.com/acquisition/social-chain-acquires-urbanara--b5923279,"Berlin, Berlin, Germany",Urbanara,https://www.crunchbase.com/organization/urbanara,Social Chain,https://www.crunchbase.com/organization/social-chain,2020-01-08,day,Acquisition,,,,,"Urbanara is an online store that offers homeware, furniture, and accessories for home decoration.",Venture - Series Unknown,"Consumer, E-Commerce, Furniture, Home Decor",http://www.urbanara.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,6,14892000,EUR,17950785,Social Chain a social media marketing agency.,"Advertising, Marketing, Social Media","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.socialchain.com/,$1M to $10M,2000000,USD,2000000,M&A,1,"111,197"
VAHA acquired by Bioniq,https://www.crunchbase.com/acquisition/bioniq-health-tech-solutions-acquires-vaha--796d026a,"Berlin, Berlin, Germany",VAHA,https://www.crunchbase.com/organization/vaha,Bioniq,https://www.crunchbase.com/organization/bioniq-health-tech-solutions,2022-12-06,day,Acquisition,,,,,"VAHA is an interactive mirror provide access to personalized, immersive sessions for body, mind and nutrition at home.",Series B,"Fitness, Health Care, Nutrition, Wellness",https://www.vaha.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",Less than $1M,M&A,3,,,,Bioniq offers personalized supplements with up to 120 nutrients tailored to individual health needs.,"Dietary Supplements, Fitness, Health Care, Personal Health, Wellness","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",http://www.bioniq.com,$1M to $10M,30300000,USD,30300000,,4,"111,810"
Vantik acquired by Evergreen GmbH,https://www.crunchbase.com/acquisition/evergreen-gmbh-acquires-brix-2--48bb6de0,"Berlin, Berlin, Germany",Vantik,https://www.crunchbase.com/organization/brix-2,Evergreen GmbH,https://www.crunchbase.com/organization/evergreen-gmbh,2022-08-15,day,Acquisition,,,,,Vantik is the first mobile retirement account to boost your confidence in your financial future.,Venture - Series Unknown,"Finance, Financial Exchanges, Financial Services, FinTech, Insurance, Life Insurance",https://www.vantik.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,4,2250000,EUR,2626916,The Digital Wealth Management API Company,"Asset Management, Banking, Financial Services, FinTech, Personal Finance","Leipzig, Sachsen, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://www.evergreen.de,$1M to $10M,7350000,EUR,8495803,Seed,4,"15,742"
Verlagsgesellschaft acquired by CentralNic,https://www.crunchbase.com/acquisition/centralnic-group-acquires-verlagsgesellschaft--eb9aba75,"Berlin, Berlin, Germany",Verlagsgesellschaft,https://www.crunchbase.com/organization/verlagsgesellschaft,CentralNic,https://www.crunchbase.com/organization/centralnic-group,2022-02-28,day,Acquisition,,60000000,EUR,67286148,VGL is an online portal that specializes in the production of tests and comparison of products and services.,,"Online Portals, Publishing, Test and Measurement",http://www.vergleich.org,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,CentralNic is a domain and web services company that offers online presence and marketing services to customers.,"Domain Registrar, Internet, Marketing, Software","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.centralnicgroup.com,$100M to $500M,,,,IPO,,"167,008"
Vermietet.de acquired by Scout24,https://www.crunchbase.com/acquisition/scout24-acquires-vermietet-de--0e356c79,"Berlin, Berlin, Germany",Vermietet.de,https://www.crunchbase.com/organization/vermietet-de,Scout24,https://www.crunchbase.com/organization/scout24,2021-05-11,day,Acquisition,,,,,Vermietet.de is the one-stop solution for private landlords and property managers.,Series A,"Internet, Real Estate, Rental Property, Social Entrepreneurship",https://www.vermietet.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,5,17000000,EUR,19360967,Scout24 operates digital marketplaces in the real estate & automotive sectors.,"Advertising, Automotive, Digital Media, Marketplace, Real Estate","München, Bayern, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",http://www.scout24.com/en/Company.aspx,$500M to $1B,,,,M&A,,"34,310"
Viafintech acquired by Paysafe,https://www.crunchbase.com/acquisition/paysafe-acquires-viafintech--3bfba3e1,"Berlin, Berlin, Germany",Viafintech,https://www.crunchbase.com/organization/viafintech,Paysafe,https://www.crunchbase.com/organization/paysafe,2021-08-22,day,Acquisition,,,,,"Viafintech provides digital payment solutions that help to pay invoices, deposits and withdrawals using barcodes with value-added services.",,"Financial Services, FinTech, Payments",https://viafintech.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$1M to $10M,M&A,,,,,Paysafe is a global payments provider offering a range of payments solutions for businesses and consumers.,"Financial Services, FinTech, Mobile Payments, Risk Management","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.paysafe.com,$1B to $10B,2000000000,USD,2000000000,IPO,2,"139,429"
Vimcar acquired by Battery Ventures,https://www.crunchbase.com/acquisition/battery-ventures-acquires-vimcar--01261ed7,"Berlin, Berlin, Germany",Vimcar,https://www.crunchbase.com/organization/vimcar,Battery Ventures,https://www.crunchbase.com/organization/battery-ventures,2023-01-05,day,Acquisition,Cash,135000000,EUR,142023039,Vimcar is a software startup that provides fleet management solutions for small and medium businesses.,Series B,"Automotive, Business Intelligence, Fleet Management, Software, Transportation",https://www.vimcar.de/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",$10M to $50M,M&A,3,18500000,USD,18500000,Battery Ventures is a investment firm that focuses on technology.,"Finance, Financial Services, Venture Capital","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",http://www.battery.com,Less than $1M,,,,,,"24,322"
Volojoy acquired by Chattyco,https://www.crunchbase.com/acquisition/chattyco-acquires-volojoy--a586f789,"Berlin, Berlin, Germany",Volojoy,https://www.crunchbase.com/organization/volojoy,Chattyco,https://www.crunchbase.com/organization/chattyco,2020-10-01,month,Merger,,,,,Volojoy is a platform for personalized video messages from celebrities and influencers,,"Celebrity, Content Creators, Gift, Media and Entertainment, Social Media, Video",https://www.volojoy.com,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,Video responses from your favorite stars. Get a personal video response from your favourite stars.,"Celebrity, Digital Entertainment, Gift, Social Media, Video","Berlin, Berlin, Germany","European Union (EU), Europe, Middle East, and Africa (EMEA)",https://chattyco.com,,,,,,,"42,503"
Wando Internet Solutions acquired by CentralNic,https://www.crunchbase.com/acquisition/centralnic-group-acquires-wando-internet-solutions--c91c24f0,"Berlin, Berlin, Germany",Wando Internet Solutions,https://www.crunchbase.com/organization/wando-internet-solutions,CentralNic,https://www.crunchbase.com/organization/centralnic-group,2021-02-22,day,Acquisition,,5400000,EUR,6568664,"Wando Internet Solutions GmbH, a social marketing, display advertising and search engine marketing (SEM) advertising technology company.",,"Advertising, Marketing",http://www.wandome.com/,"European Union (EU), Europe, Middle East, and Africa (EMEA)",,M&A,,,,,CentralNic is a domain and web services company that offers online presence and marketing services to customers.,"Domain Registrar, Internet, Marketing, Software","London, England, United Kingdom","Europe, Middle East, and Africa (EMEA)",https://www.centralnicgroup.com,$100M to $500M,,,,IPO,,"50,181"
