Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Series A - Babybe,https://www.crunchbase.com/funding_round/babybe-series-a--345dcbac,Babybe,https://www.crunchbase.com/organization/babybe,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-07-06,Early Stage Venture,,,,Yes,Babybe is a medical device company helping premature babies to recover faster by keeping them connected to their mothers.,"Health Care, Robotics, Wearables",,http://www.babybemedical.com,Less than $1M,65000,USD,65000,Early Stage Venture,9,SOSV,2,1,"HAX, SOSV","515,983"
Pre Seed Round - Balance of Storage Systems,https://www.crunchbase.com/funding_round/balance-of-storage-systems-ag-pre-seed--da8b1946,Balance of Storage Systems,https://www.crunchbase.com/organization/balance-of-storage-systems-ag,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2021-10-12,Seed,,,,Yes,Balance of Storage Systems is a high-tech start-up company in the sector of renewable energy.,Renewable Energy,,http://www.bos-ag.com/,$1M to $10M,,,,Seed,2,,1,,First Impact,"393,069"
Seed Round - bex technologies,https://www.crunchbase.com/funding_round/bex-technologies-gmbh-seed--a4d58c4f,bex technologies,https://www.crunchbase.com/organization/bex-technologies-gmbh,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",1100000,EUR,1314115,2021-03-20,Seed,,,,Yes,bex technologies is a last mile logistics platform for the construction industry.,"Building Material, Construction, Last Mile Transportation, Logistics",,https://bexapp.de/,$1M to $10M,7500000,EUR,8485662,Seed,3,,,,,"132,771"
Seed Round - bex technologies,https://www.crunchbase.com/funding_round/bex-technologies-gmbh-seed--459c3353,bex technologies,https://www.crunchbase.com/organization/bex-technologies-gmbh,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",5600000,EUR,6280040,2022-02-28,Seed,,,,Yes,bex technologies is a last mile logistics platform for the construction industry.,"Building Material, Construction, Last Mile Transportation, Logistics",,https://bexapp.de/,$1M to $10M,7500000,EUR,8485662,Seed,3,Scania Growth Capital,1,,Scania Growth Capital,"351,801"
Pre Seed Round - bex technologies,https://www.crunchbase.com/funding_round/bex-technologies-gmbh-pre-seed--ed76cc23,bex technologies,https://www.crunchbase.com/organization/bex-technologies-gmbh,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",800000,EUR,891507,2020-03-02,Seed,,,,Yes,bex technologies is a last mile logistics platform for the construction industry.,"Building Material, Construction, Last Mile Transportation, Logistics",,https://bexapp.de/,$1M to $10M,7500000,EUR,8485662,Seed,3,,,,,"648,074"
Series A - BIMwelt Systems,https://www.crunchbase.com/funding_round/bimwelt-systems-gmbh-series-a--7c9ea404,BIMwelt Systems,https://www.crunchbase.com/organization/bimwelt-systems-gmbh,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-02-27,Early Stage Venture,,,,Yes,BIMwelt Systems is a Software Company.,"Construction, Software",,https://bimsystems.de/,Less than $1M,,,,Early Stage Venture,1,"BitStone Capital, Zech Group",2,,"BitStone Capital, Zech Group","267,247"
Venture Round - BISON App,https://www.crunchbase.com/funding_round/bison-app-series-unknown--b065f303,BISON App,https://www.crunchbase.com/organization/bison-app,Venture - Series Unknown,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-01-31,,,,,Yes,BISON App shows you the beautiful sides of the crypto world without any complicated processes.,"Cryptocurrency, Software",,https://bisonapp.de/en/,$1M to $10M,,,,,1,,1,,Boerse Stuttgart Digital Ventures,"281,051"
Seed Round - Blockbrain,https://www.crunchbase.com/funding_round/blockbrain-seed--c7f3074a,Blockbrain,https://www.crunchbase.com/organization/blockbrain,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2500000,EUR,2780531,2024-09-17,Seed,,,,Yes,SaaS-Plattform für KI-gestütztes Knowledge Management,"Artificial Intelligence (AI), Business Process Automation (BPA), Chatbot, Knowledge Management, SaaS",,https://www.theblockbrain.io/,,5000000,EUR,5429987,Seed,3,Giesecke+Devrient Ventures,3,1,"Giesecke+Devrient Ventures, Mätch VC, Plug and Play","14,330"
Seed Round - Blockbrain,https://www.crunchbase.com/funding_round/blockbrain-seed--7c6c1679,Blockbrain,https://www.crunchbase.com/organization/blockbrain,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2023-08-09,Seed,,,,Yes,SaaS-Plattform für KI-gestütztes Knowledge Management,"Artificial Intelligence (AI), Business Process Automation (BPA), Chatbot, Knowledge Management, SaaS",,https://www.theblockbrain.io/,,5000000,EUR,5429987,Seed,3,,2,,"Blockchain Founders Fund, Czhang's Digital Investment","183,918"
Pre Seed Round - Blockbrain,https://www.crunchbase.com/funding_round/blockbrain-pre-seed--8ce3b8aa,Blockbrain,https://www.crunchbase.com/organization/blockbrain,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",2500000,EUR,2649456,2022-12-16,Seed,,,,Yes,SaaS-Plattform für KI-gestütztes Knowledge Management,"Artificial Intelligence (AI), Business Process Automation (BPA), Chatbot, Knowledge Management, SaaS",,https://www.theblockbrain.io/,,5000000,EUR,5429987,Seed,3,,11,,"Eric Ebert, Gregor Stuhler, Jakob Schreyer, Johannes Schaback, Marcus Erken, Robert Maier, Sebastian Schmidt, Shio Capital, Unifier Ventures, w3.fund, zeitgeistgroup","364,558"
Seed Round - Build.One,https://www.crunchbase.com/funding_round/build-one-seed--5c2419fc,Build.One,https://www.crunchbase.com/organization/build-one,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2022-10-01,Seed,,,,Yes,"Build.One is a software development company that develops web applications for enterprises, software vendors, agencies, and developers.","UX Design, Web Apps, Web Development",,https://www.build.one,,,,,Seed,1,,1,,Loric Ventures,"147,788"
Pre Seed Round - caisy.io,https://www.crunchbase.com/funding_round/caisy-io-pre-seed--6c331dd5,caisy.io,https://www.crunchbase.com/organization/caisy-io,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",300000,EUR,342459,2022-01-14,Seed,,,,Yes,"caisy.io, the next-generation Headless CMS.","B2B, SaaS, Software",,https://caisy.io,,300000,EUR,342459,Seed,1,Waldegg Equity,1,,Waldegg Equity,"120,821"
Seed Round - Capdevila ite,https://www.crunchbase.com/funding_round/capdevila-ite-seed--f69102db,Capdevila ite,https://www.crunchbase.com/organization/capdevila-ite,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-01-01,Seed,,,,Yes,Capdevila is a knowledge-based corporation committed to analyzing and optimizing photovoltaic power generation project performance.,"Analytics, Software",,http://www.capdevila-ite.com/,,,,,Seed,1,Up2B Accelerator,1,,Up2B Accelerator,"631,087"
Pre Seed Round - Core Elements,https://www.crunchbase.com/funding_round/core-elements-pre-seed--61e4d4df,Core Elements,https://www.crunchbase.com/organization/core-elements,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-10-02,Seed,,,,Yes,Hardware,Hardware,,https://www.coreelements.de,,,,,Seed,1,,1,,First Momentum Ventures,"300,263"
Seed Round - Cyclize,https://www.crunchbase.com/funding_round/cyclize-seed--36e677b6,Cyclize,https://www.crunchbase.com/organization/cyclize,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",4750000,EUR,5139664,2024-02-21,Seed,,,,Yes,Replacing fossil feedstock using plastic waste and CO2,,,https://www.cyclize.de,,4750000,EUR,5139664,Seed,1,UVC Partners,5,1,"Aurum Impact, HTGF | High-Tech Gruenderfonds, Klaus Schafer, UnternehmerTUM, UVC Partners","50,091"
Pre Seed Round - DataZoo,https://www.crunchbase.com/funding_round/datazoo-pre-seed--d5b5186e,DataZoo,https://www.crunchbase.com/organization/datazoo,Pre-Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-12-01,Seed,,,,Yes,Datazoo is dedicated to data analysis and machine learning to improve enterprise core processes with modern methods and technology.,"Analytics, Artificial Intelligence (AI), Business Intelligence, Cloud Data Services, Information Technology, Machine Learning, Software",,https://data-zoo.de,,,,,Seed,1,,1,,Kärcher New Venture,"127,728"
Seed Round - DEBTVISION,https://www.crunchbase.com/funding_round/debtvision-seed--4ade8d5b,DEBTVISION,https://www.crunchbase.com/organization/debtvision,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2019-01-01,Seed,,,,Yes,DEBTVISION is an open digital finance products platform that brings together companies.,"Financial Services, Information Technology, Internet",,https://www.debtvision.de/#-,,,,,Seed,1,Boerse Stuttgart Digital Ventures,1,,Boerse Stuttgart Digital Ventures,"358,099"
Seed Round - drag&bot,https://www.crunchbase.com/funding_round/drag-bot-seed--1dbeb8ac,drag&bot,https://www.crunchbase.com/organization/drag-bot,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-12-01,Seed,,,,Yes, drag&bot is a web-based software for easy programming of industrial robots.,"Industrial Automation, Robotics, Software",,https://www.dragandbot.com/,$1M to $10M,,,,M&A,1,Speedinvest,1,1,Speedinvest,"564,847"
Series A - EKU Power Drives,https://www.crunchbase.com/funding_round/eku-power-drives-series-a--16dd253c,EKU Power Drives,https://www.crunchbase.com/organization/eku-power-drives,Series A,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2017-06-08,Early Stage Venture,,,,Yes,"EKU Power Drives provides intelligent, gas-electric hybrid solutions to enable oil and gas production with natural gas as the primary fuel.","Clean Energy, Energy, Energy Efficiency, Industrial, Oil and Gas",,http://www.ekupd.com/,Less than $1M,379400,EUR,480984,M&A,5,Vector Venture Capital,1,,Vector Venture Capital,"256,967"
Seed Round - eliso,https://www.crunchbase.com/funding_round/eliso-seed--82d0e651,eliso,https://www.crunchbase.com/organization/eliso,Seed,"Stuttgart, Baden-Wurttemberg, Germany, Europe",,,,2018-06-01,Seed,,,,Yes,"eliso plans, implements and operates charging solutions for electric vehicles by offering innovative software and all-around services.","Automotive, Charging Infrastructure, Electric Vehicle, Information Technology, Infrastructure, Software, Transportation",,https://eliso.io/,,,,,M&A,2,Vector Venture Capital,1,1,Vector Venture Capital,"532,428"
