Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - ANNEA,https://www.crunchbase.com/funding_round/annea-ai-gmbh-seed--b85c612d,ANNEA,https://www.crunchbase.com/organization/annea-ai-gmbh,Seed,"Hamburg, Hamburg, Germany, Europe",2750000,EUR,3023171,2023-12-14,Seed,,,,Yes,Predictive Maintenance and Asset Performance Management Platform,"Artificial Intelligence (AI), Energy, Hydroelectric, Machine Learning, Predictive Analytics, Renewable Energy, SaaS, Software, Solar, Wind Energy",,https://www.annea.ai,$1M to $10M,3750000,EUR,4070509,Seed,2,Voyager Ventures,3,2,"Faber, Innoport, Voyager Ventures","92,072"
Seed Round - ANNEA,https://www.crunchbase.com/funding_round/annea-ai-gmbh-seed--a091ca91,ANNEA,https://www.crunchbase.com/organization/annea-ai-gmbh,Seed,"Hamburg, Hamburg, Germany, Europe",1000000,EUR,1047338,2022-05-18,Seed,,,,Yes,Predictive Maintenance and Asset Performance Management Platform,"Artificial Intelligence (AI), Energy, Hydroelectric, Machine Learning, Predictive Analytics, Renewable Energy, SaaS, Software, Solar, Wind Energy",,https://www.annea.ai,$1M to $10M,3750000,EUR,4070509,Seed,2,"Faber, Innoport",2,1,"Faber, Innoport","572,833"
Seed Round - Ant Robotics,https://www.crunchbase.com/funding_round/ant-robotics-34e5-seed--1a8fa640,Ant Robotics,https://www.crunchbase.com/organization/ant-robotics-34e5,Seed,"Hamburg, Hamburg, Germany, Europe",,,,2024-01-01,Seed,,,,Yes,Ant Robotics with image recognition and deep learning algorithms helps to identify and remove harmful weeds among crops.,"Industrial Automation, Machinery Manufacturing",,https://antrobotics.de/,,,,,Seed,1,,1,,Ponderosa Ventures,"81,589"
Venture Round - Apollo Health Ventures,https://www.crunchbase.com/funding_round/apollo-health-ventures-series-unknown--34ef26b7,Apollo Health Ventures,https://www.crunchbase.com/organization/apollo-health-ventures,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",,,,2022-02-01,,,,,Yes,Apollo Health Ventures is a venture capital firm investing in seed and early stage biotechnology companies.,"Biotechnology, Health Care, Medical, Venture Capital",,https://www.apollo.vc,,,,,Early Stage Venture,2,,1,,Katharina Juenger,"190,214"
Series A - Apollo Health Ventures,https://www.crunchbase.com/funding_round/apollo-health-ventures-series-a--66e57edd,Apollo Health Ventures,https://www.crunchbase.com/organization/apollo-health-ventures,Series A,"Hamburg, Hamburg, Germany, Europe",,,,2023-05-11,Early Stage Venture,,,,Yes,Apollo Health Ventures is a venture capital firm investing in seed and early stage biotechnology companies.,"Biotechnology, Health Care, Medical, Venture Capital",,https://www.apollo.vc,,,,,Early Stage Venture,2,,1,,FJ Labs,"363,099"
Series A - apoQlar,https://www.crunchbase.com/funding_round/apoqlar-series-a--a0f235bf,apoQlar,https://www.crunchbase.com/organization/apoqlar,Series A,"Hamburg, Hamburg, Germany, Europe",10000000,EUR,10758403,2024-05-05,Early Stage Venture,,,,Yes,Powering the Future of Surgical Care & Medical Education with Mixed Reality.,"Health Care, Medical, Medical Device, Software",,https://apoqlar.com/,$1M to $10M,10000000,EUR,10758403,Early Stage Venture,2,,2,2,"IFB Innovationsstarter, YZR Capital","24,960"
Venture Round - apoQlar,https://www.crunchbase.com/funding_round/apoqlar-series-unknown--65dd5da6,apoQlar,https://www.crunchbase.com/organization/apoqlar,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",,,,2023-07-05,,,,,Yes,Powering the Future of Surgical Care & Medical Education with Mixed Reality.,"Health Care, Medical, Medical Device, Software",,https://apoqlar.com/,$1M to $10M,10000000,EUR,10758403,Early Stage Venture,2,YZR Capital,1,,YZR Capital,"294,384"
Seed Round - Appinio,https://www.crunchbase.com/funding_round/appinio-seed--02f3e88e,Appinio,https://www.crunchbase.com/organization/appinio,Seed,"Hamburg, Hamburg, Germany, Europe",500000,EUR,578855,2018-10-01,Seed,,,,Yes,From questions to insights in minutes. Appinio provides real-time market research services via mobile app.,"Analytics, Business Intelligence, Consumer Research, Consumer Reviews, Market Research, Mobile Apps, Product Research",,http://www.appinio.com,$1B to $10B,1600000,EUR,1780811,Seed,2,,1,,BPO Capital,"296,324"
Venture Round - AppLike,https://www.crunchbase.com/funding_round/applike-series-unknown--097e0bb4,AppLike,https://www.crunchbase.com/organization/applike,Venture - Series Unknown,"Hamburg, Hamburg, Germany, Europe",100000000,EUR,105036500,2022-04-28,,400000000,EUR,420146001,Yes,"AppLike develops apps for all mobile devices and provides mobile advertising, app recommendation, and innovative B2B solutions.","Advertising, App Marketing, Marketing, Mobile Advertising",,https://applike-group.com,$10M to $50M,100000000,EUR,105036500,,1,Bertelsmann Investments,1,3,Bertelsmann Investments,"146,532"
Private Equity Round - Aqua free,https://www.crunchbase.com/funding_round/aqua-free-private-equity--d0ca8fd3,Aqua free,https://www.crunchbase.com/organization/aqua-free,Private Equity,"Hamburg, Hamburg, Germany, Europe",,,,2018-03-22,Private Equity,,,,Yes,Aqua free is a manufacturer of medical water filters.,"Health Care, Manufacturing, Medical Device",,https://www.aqua-free.com,$10M to $50M,,,,Private Equity,1,,1,,Haspa BGM,"478,250"
Seed Round - ARTMO,https://www.crunchbase.com/funding_round/artmo-seed--d5526cad,ARTMO,https://www.crunchbase.com/organization/artmo,Seed,"Hamburg, Hamburg, Germany, Europe",250000,EUR,263188,2022-12-01,Seed,3570000,EUR,3758318,Yes,Online Platform | Art Network & Marketplace,"Art, Communities, E-Commerce, Internet, Marketplace, Online Portals, Social Media, Social Network",,https://artmo.com/,$100M to $500M,1350000,EUR,1501455,Seed,3,,,,,"13,115"
Seed Round - ARTMO,https://www.crunchbase.com/funding_round/artmo-seed--a61dba6d,ARTMO,https://www.crunchbase.com/organization/artmo,Seed,"Hamburg, Hamburg, Germany, Europe",880000,EUR,993534,2021-12-15,Seed,3500000,EUR,3951556,Yes,Online Platform | Art Network & Marketplace,"Art, Communities, E-Commerce, Internet, Marketplace, Online Portals, Social Media, Social Network",,https://artmo.com/,$100M to $500M,1350000,EUR,1501455,Seed,3,,,,,"520,197"
Pre Seed Round - ARTMO,https://www.crunchbase.com/funding_round/artmo-pre-seed--c9a784fe,ARTMO,https://www.crunchbase.com/organization/artmo,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",220000,EUR,244733,2019-12-15,Seed,2000000,EUR,2224845,Yes,Online Platform | Art Network & Marketplace,"Art, Communities, E-Commerce, Internet, Marketplace, Online Portals, Social Media, Social Network",,https://artmo.com/,$100M to $500M,1350000,EUR,1501455,Seed,3,,,,,"590,365"
Pre Seed Round - asap.industries,https://www.crunchbase.com/funding_round/asap-industries-gmbh-pre-seed--5f77b7b8,asap.industries,https://www.crunchbase.com/organization/asap-industries-gmbh,Pre-Seed,"Hamburg, Hamburg, Germany, Europe",,,,2017-08-11,Seed,,,,Yes,Search & Management SaaS  for companies working with freelancers.,"B2B, Database, Freelance, Human Resources, Information Services, Information Technology, Management Information Systems, SaaS, Software",,http://www.asap.industries,,,,,M&A,1,Next Media Accelerator,1,,Next Media Accelerator,"257,209"
