Transaction Name,Transaction Name URL,Organization Name,Organization Name URL,Funding Type,Organization Location,Money Raised,Money Raised Currency,Money Raised (in USD),Announced Date,Funding Stage,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Equity Only Funding,Organization Description,Organization Industries,Diversity Spotlight,Organization Website,Organization Revenue Range,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Funding Status,Number of Funding Rounds,Lead Investors,Number of Investors,Number of Partner Investors,Investor Names,CB Rank (Funding Round)
Seed Round - Blenk Technologies,https://www.crunchbase.com/funding_round/blenk-technologies-seed--f3a7a0cc,Blenk Technologies,https://www.crunchbase.com/organization/blenk-technologies,Seed,"Berlin, Berlin, Germany, Europe",,,,2023-07-28,Seed,,,,Yes,"Blenk Technologies development, marketing and operation of internet-based software for personnel and payroll processes.",Internet,,,,,,,Seed,1,Cherry Ventures,1,,Cherry Ventures,"114,928"
Venture Round - Blue Farm,https://www.crunchbase.com/funding_round/blue-farm-series-unknown--1babd508,Blue Farm,https://www.crunchbase.com/organization/blue-farm,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2023-08-24,,,,,Yes,"Food & Beverages, Impact, FMCG, Alternative Milk, e-Commerce","Farming, Food and Beverage, Nutrition",,https://www.bluefarm.co/,$10M to $50M,5000000,EUR,5287965,,4,,3,,"HGDF, Jebsen & Jessen Hamburg Group, Zintinus","123,658"
Series A - Bluu Seafood,https://www.crunchbase.com/funding_round/bluu-bioscience-series-a--13eb366f,Bluu Seafood,https://www.crunchbase.com/organization/bluu-bioscience,Series A,"Berlin, Berlin, Germany, Europe",16000000,EUR,17464408,2023-06-28,Early Stage Venture,,,,Yes,Bluu Seafood Provides Sea Food Manufacturing Services.,"Food and Beverage, Food Processing, Manufacturing, Service Industry, Supply Chain Management",,https://bluu.bio/,$1M to $10M,23100000,EUR,25825710,Early Stage Venture,3,"LBBW VC, Sparkfood",9,,"Delivery Hero Ventures, Dr.Oetker, Innovationsstarter Fonds, Investitions- und Förderbank, LBBW VC, Manta Ray Ventures, Norrsken VC, SeaX Ventures, Sparkfood","63,810"
Venture Round - bookingkit,https://www.crunchbase.com/funding_round/bookingkit-series-unknown--4f6d6caf,bookingkit,https://www.crunchbase.com/organization/bookingkit,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2023-06-06,,,,,Yes,"bookingkit offers booking software for tours, activities, and attractions.","Marketing, Reservations, Software, Tourism, Travel",,https://bookingkit.net,$1M to $10M,5000000,EUR,5883447,,6,,3,,"Intermedia Venture, Müller Medien, Robert André Kabs","91,986"
Angel Round - Brandhouse Berlin,https://www.crunchbase.com/funding_round/brandhouse-berlin-angel--273b6710,Brandhouse Berlin,https://www.crunchbase.com/organization/brandhouse-berlin,Angel,"Berlin, Berlin, Germany, Europe",,,,2023-01-27,Seed,,,,Yes,Brandhouse Berlin provides expertise in DTC & B2B marketing Supplychain (European & Sustainable) Operations.,"B2C, Supply Chain Management",,https://www.brandhouse.berlin/,,,,,Seed,2,,1,,Klaas Heufer-Umlauf,"460,180"
Seed Round - Breeze,https://www.crunchbase.com/funding_round/breeze-5f6a-seed--cc8c5dc2,Breeze,https://www.crunchbase.com/organization/breeze-5f6a,Seed,"Berlin, Berlin, Germany, Europe",2200000,EUR,2327988,2023-03-15,Seed,,,,Yes,"Breeze is an app that has : MATCH & CONNECT specifically designed to meet needs, preferences and goals of customers.",Real Estate,,https://www.breeze4me.de/,,2200000,EUR,2327988,Seed,1,,,,,"33,971"
Venture Round - brighter AI,https://www.crunchbase.com/funding_round/brighter-ai-technologies-series-unknown--8f7066e1,brighter AI,https://www.crunchbase.com/organization/brighter-ai-technologies,Venture - Series Unknown,"Berlin, Berlin, Germany, Europe",,,,2023-02-07,,,,,Yes,Protect every identity in public.,"Artificial Intelligence (AI), Cyber Security, Information Technology, Machine Learning, Privacy",,https://www.brighter.ai/?crunchbase=yes,,650000,EUR,780063,,6,Deutsche Bahn Digital Ventures,1,,Deutsche Bahn Digital Ventures,"501,014"
Pre Seed Round - Bruin,https://www.crunchbase.com/funding_round/bruin-3873-pre-seed--dc533ef5,Bruin,https://www.crunchbase.com/organization/bruin-3873,Pre-Seed,"Berlin, Berlin, Germany, Europe",,,,2023-10-08,Seed,,,,Yes,Bruin is an online platform for data analysts that allows online data transformation with SQL and Python without any custom code.,"Analytics, Data Management, Database, Information Technology",,https://getbruin.com,,,,,Seed,1,Techstars,1,,Techstars,"103,244"
Post-IPO Debt - Cabka,https://www.crunchbase.com/funding_round/cabka-post-ipo-debt--7cdcdf3e,Cabka,https://www.crunchbase.com/organization/cabka,Post-IPO Debt,"Berlin, Berlin, Germany, Europe",80000000,EUR,87556091,2023-12-20,,,,,No,Cabka is a manufacturer that provides recycling solutions to optimize waste management as well as material handling services.,"Industrial Manufacturing, Manufacturing, Recycling, Renewable Energy",,https://cabka.com/de/de/m/kunststoffpaletten/,$100M to $500M,80000000,EUR,87556091,IPO,1,,,,,"225,926"
Seed Round - Caeli Wind,https://www.crunchbase.com/funding_round/caeli-wind-seed--8cf62522,Caeli Wind,https://www.crunchbase.com/organization/caeli-wind,Seed,"Berlin, Berlin, Germany, Europe",1000000,EUR,1086779,2023-06-29,Seed,,,,Yes,Digital marketplace that identifies wind potential locations for landowners and enables professional AI-supported analysis and marketing.,"Intelligent Systems, Marketing, Wind Energy",,https://www.caeli-wind.de/start,Less than $1M,14000000,EUR,15152564,Early Stage Venture,3,HTGF | High-Tech Gruenderfonds,1,,HTGF | High-Tech Gruenderfonds,"193,640"
Pre Seed Round - Cakewalk,https://www.crunchbase.com/funding_round/cakewalk-pre-seed--36d5d1de,Cakewalk,https://www.crunchbase.com/organization/cakewalk,Pre-Seed,"Berlin, Berlin, Germany, Europe",3000000,EUR,3274930,2023-06-23,Seed,,,,Yes,The easiest way to run your employees' access to apps.,"Compliance, IT Management, Security",,https://www.getcakewalk.io,,3000000,EUR,3274930,Seed,2,Fly Ventures,3,2,"Fly Ventures, Possible Ventures, Seedcamp","216,773"
Seed Round - Cambrium,https://www.crunchbase.com/funding_round/cambrium-seed--23f5af17,Cambrium,https://www.crunchbase.com/organization/cambrium,Seed,"Berlin, Berlin, Germany, Europe",8000000,EUR,8462796,2023-10-31,Seed,,,,Yes,Cambrium is engineering biology to create high-performance proteins.,"Advanced Materials, Bioinformatics, Biotechnology, Machine Learning, Robotics",,https://www.cambrium.bio,,8000000,EUR,8462796,Seed,3,Essential Capital,4,1,"Essential Capital, HOF Capital, SNR.vc, Valor Equity Partners","450,407"
