url,company_id,followers,employeeCount,employeeCountRange,employeeCountRangeMin,employeeCountRangeMax,error
https://www.linkedin.com/company/detahq,20109134,1295,47,2-10,2,10,
https://www.linkedin.com/company/28988263/,4837025,16199,20,51-200,51,200,
https://www.linkedin.com/company/dfkp-gmbh/,30676930,1158,53,51-200,51,200,
https://in.linkedin.com/company/diamontech-gmbh,27049750,2732,28,11-50,11,50,
https://www.linkedin.com/company/13035197/,13035197,2419,3,11-50,11,50,
https://www.linkedin.com/company/diode-chain,26641279,300,8,2-10,2,10,
https://www.linkedin.com/showcase/discoeat-de/about/,79061268,35,null,11-50,11,50,
https://in.linkedin.com/company/diva-e-digital-value-enterprise-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/dive-solutions/,11427101,4497,55,11-50,11,50,
https://de.linkedin.com/company/dizzbo-gmbh,18978466,2008,31,51-200,51,200,
https://www.linkedin.com/company/doctorly,27098659,7547,69,51-200,51,200,
https://www.linkedin.com/company/dogo-app/,11800341,2397,27,11-50,11,50,
https://www.linkedin.com/company/things-move-china-gmbh,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/dopavision/,11435684,1451,20,2-10,2,10,
https://www.linkedin.com/company/dudechem,78707888,2067,25,11-50,11,50,
https://www.linkedin.com/company/eatplants/?trk=similar-pages_result-card_full-click&originalSubdomain=in,42155495,1557,0,2-10,2,10,
https://www.linkedin.com/company/eclear-ag,35446538,3276,78,51-200,51,200,
https://www.linkedin.com/company/ecoligo,10237834,18729,63,51-200,51,200,
https://www.linkedin.com/company/ecoworksnetzerobuildings,12670671,10580,144,51-200,51,200,
https://de.linkedin.com/company/edamamafoods,11077465,405,0,2-10,2,10,
https://de.linkedin.com/company/edkimo,5200055,333,8,2-10,2,10,
https://www.linkedin.com/company/lehrermarktplatz-de/about/,10340565,11318,158,51-200,51,200,
https://www.linkedin.com/company/medidate,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/element-insurance,17990020,7286,95,51-200,51,200,
https://www.linkedin.com/company/elena-international,14781437,406,3,2-10,2,10,
https://www.linkedin.com/company/elinvar.de,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://de.linkedin.com/company/elucidate-gmbh,18484380,4386,24,11-50,11,50,
https://www.linkedin.com/in/ivan-mirkovikj-7662ab146/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/emil-de/,12625538,1586,42,51-200,51,200,
https://www.linkedin.com/company/emio-sharing,5393411,2389,39,51-200,51,200,
https://www.linkedin.com/company/enapter,13619372,37180,186,201-500,201,500,
https://www.linkedin.com/company/endelsound,11748929,8535,128,51-200,51,200,
https://www.linkedin.com/company/endodont,27192393,49,2,2-10,2,10,
https://www.linkedin.com/company/loops-ventures-gmbh,9264970,18,1,2-10,2,10,
https://www.linkedin.com/company/enote/,10127741,1446,27,11-50,11,50,
https://www.linkedin.com/company/enpal-gmbh,11805751,103313,2817,1001-5000,1001,5000,
https://www.linkedin.com/company/epilotmobility,30112094,386,2,11-50,11,50,
https://www.linkedin.com/company/erazerowaste/,40693995,1088,1,2-10,2,10,
https://www.linkedin.com/company/escarda,54080941,528,11,2-10,2,10,
https://www.linkedin.com/company/7564181/admin/,7564181,48,5,2-10,2,10,
https://www.linkedin.com/company/10820313,10820313,29043,5,2-10,2,10,
https://www.linkedin.com/company/etonec-gmbh,13047000,824,7,2-10,2,10,
https://www.linkedin.com/company/evercity,11541897,1348,8,2-10,2,10,
https://www.linkedin.com/company/evermood,33225686,3799,36,11-50,11,50,
https://www.linkedin.com/company/everphone-gmbh,10591766,8457,202,201-500,201,500,
https://www.linkedin.com/company/every-foods/,15793716,3407,358,11-50,11,50,
https://www.linkedin.com/company/evivecare/?originalSubdomain=in,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/exolos/,5351385,8,0,2-10,2,10,
https://www.linkedin.com/company/expatriogmbh,18419181,4228,59,11-50,11,50,
https://www.linkedin.com/company/expertlead_berlin,18187297,6716,27,51-200,51,200,
https://www.linkedin.com/company/explosion-ai,10945977,15690,14,11-50,11,50,
https://www.linkedin.com/company/fabvote,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/fairsenden/,30687225,681,8,11-50,11,50,
https://www.linkedin.com/company/famedly/about/,12976028,2221,34,11-50,11,50,
https://www.linkedin.com/company/fanmiles-gmbh/,2225206,292,5,11-50,11,50,
https://www.linkedin.com/company/fastic,26228240,4686,32,11-50,11,50,
https://in.linkedin.com/company/faze-models,10415027,263,14,2-10,2,10,
https://www.linkedin.com/company/fdx-fluid-dynamix-gmbh,10051792,921,20,11-50,11,50,
https://www.linkedin.com/company/feather-insurance,53086679,2754,49,11-50,11,50,
https://www.linkedin.com/company/felmo-gmbh,28511971,3607,104,201-500,201,500,
https://www.linkedin.com/company/femna/,12955582,1367,17,11-50,11,50,
https://www.linkedin.com/company/femtasy/,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,OFFLINE,
https://www.linkedin.com/company/fertilly/,14863159,1940,14,11-50,11,50,
https://linkedin.com/company/field33,14834664,893,2,2-10,2,10,
https://www.linkedin.com/company/financeads-international/,9423414,1695,23,11-50,11,50,
https://www.linkedin.com/company/finanzmining,19075473,223,2,11-50,11,50,
https://www.linkedin.com/company/fincompare/,10976436,5237,64,51-200,51,200,
https://www.linkedin.com/company/finiata/,18120997,2294,21,11-50,11,50,
https://www.linkedin.com/company/finmarie/,27114701,3436,7,2-10,2,10,
https://www.linkedin.com/company/finoa-io,11775662,8680,78,51-200,51,200,
https://www.linkedin.com/company/fixfirst/?lipi=urn%3Ali%3Apage%3Ad_flagship3_company%3BquOpgQB3SNSlghSvvD6zkQ%3D%3D,18393576,4054,2,2-10,2,10,
https://www.linkedin.com/company/flank-ai/,18217136,4668,25,11-50,11,50,
https://www.linkedin.com/company/fliit-gmbh/,10905185,1928,9,51-200,51,200,
