Funding ID,Organization Name,Funding Type,Money Raised,Announced Date,Lead Investors,Number of Investors,Investor Names,Company ID
002086,Tracks,Pre-Seed,363000.0,2018-03-29,Future Energy Ventures,1.0,['Future Energy Ventures'],000000
002087,Trade Republic,Seed,8500000.0,2018-04-18,,,[''],001049
002088,Treasury Intelligence Solutions,Venture - Series Unknown,,2018-12-24,,1.0,['Vintage Investment Partners'],000000
002089,Trueken,Seed,,2018-04-26,Agile Accelerator,1.0,['Agile Accelerator'],001052
002090,Twenty Billion Neurons,Series A,10000000.0,2018-09-26,M12 - Microsoft's Venture Fund,4.0,"['coparion', 'Creative Edge Ventures', ""M12 - Microsoft's Venture Fund"", 'MFV Partners']",001054
002091,uberall,Series B,25000000.0,2018-02-01,HPE Growth,3.0,"['HPE Growth', 'Project A Ventures', 'United Internet Ventures']",000000
002092,uberall,Series B,25000000.0,2018-09-06,HPE Growth,3.0,"['HPE Growth', 'Project A Ventures', 'United Internet Ventures']",000000
002093,Ucandoo,Seed,,2018-12-21,bm-t beteiligungsmanagement thuringen,1.0,['bm-t beteiligungsmanagement thuringen'],001059
002094,Ultimate,Seed,1300000.0,2018-09-18,"HV Capital, Maki.vc",2.0,"['HV Capital', 'Maki.vc']",001060
002095,Unicorn Workspaces,Seed,,2018-08-01,,6.0,"['Alexander Koelpin', 'Florian Heinemann', 'Jens Hilgers', 'Lukasz Gadowski', 'Masoud Kamali', 'Matthias Spiess']",001062
002096,Uniwhere,Angel,500000.0,2018-05-25,,4.0,"['Boost Heroes', 'Enrico Noseda', 'Rancilio Cube Sicaf', 'WestTech Ventures']",001063
002097,Unu motors,Series B,12000000.0,2018-10-29,Ponooc,5.0,"['Capnamic Ventures', 'IRIS', 'Michael Baum', 'NRW.BANK', 'Ponooc']",000000
002098,UPCUE,Grant,71429.0,2018-04-01,,1.0,['EASME'],001064
002099,Urban Sports Club,Series B,,2018-10-24,Partech,3.0,"['b2venture', 'Kai Hansen', 'Partech']",000000
002100,Vantik,Pre-Seed,850000.0,2018-04-24,Atlantic Labs,3.0,"['Atlantic Labs', 'Maximilian Tayenthal', 'Seedcamp']",000000
002101,Vap,Seed,,2018-01-05,M-VC Europe Ltd.,1.0,['M-VC Europe Ltd.'],001077
002102,Vara,Seed,,2018-11-01,Merantix Capital,1.0,['Merantix Capital'],001078
002103,Vemgoo,Pre-Seed,,2018-12-21,,,[''],000000
002104,Verimi,Seed,,2018-12-05,,1.0,['Giesecke+Devrient Ventures'],001081
002105,Vermietet.de,Seed,4000000.0,2018-04-19,Berlin Technologie Holding,7.0,"['AXA Group AG', 'Axel Springer Digital Ventures', 'Berlin Technologie Holding', 'Commerzbank', 'Deutsche Bank', 'Felix Jahn', 'Kristofer Fichtner']",001083
002106,vetevo,Seed,,2018-08-23,IBB Ventures,1.0,['IBB Ventures'],001087
002107,vetevo,Seed,,2018-03-01,,1.0,['True Growth Capital'],001087
002108,Vimcar,Series B,13000000.0,2018-12-18,Acton Capital,4.0,"['Acton Capital', 'Atlantic Labs', 'coparion', 'UVC Partners']",000000
